CompositionID,HazardStudy,ChemicalID,ChemicalName,CASNumber,Contribution
3,3,275,"1,2-DICHLOROETHANE",107-06-2,1.0
4,4,25,CHLORINE,7782-50-5,100.0
5,5,25,CHLORINE,7782-50-5,100.0
6,6,25,CHLORINE,7782-50-5,100.0
7,7,25,CHLORINE,7782-50-5,100.0
8,8,17,AMMONIA,7664-41-7,30.0
9,8,18,BENZENE,71-43-2,70.0
10,9,25,CHLORINE,7782-50-5,100.0
11,10,25,CHLORINE,7782-50-5,100.0
12,11,17,AMMONIA,7664-41-7,30.0
13,11,18,BENZENE,71-43-2,70.0
14,12,17,AMMONIA,7664-41-7,30.0
15,12,18,BENZENE,71-43-2,70.0
16,13,250,ACETIC ACID,64-19-7,0.8685070750066178
17,13,99,WATER,7732-18-5,0.13149292499338222
18,14,24,CARBON MONOXIDE,630-08-0,0.43
19,14,36,HYDROGEN,1333-74-0,0.55
20,15,97,VINYL ACETATE,108-05-4,85.0
21,15,99,WATER,7732-18-5,15.0
22,16,97,VINYL ACETATE,108-05-4,80.0
23,16,99,WATER,7732-18-5,14.0
24,16,207,ACETALDEHYDE,75-07-0,6.0
25,17,97,VINYL ACETATE,108-05-4,85.0
26,17,99,WATER,7732-18-5,15.0
27,18,97,VINYL ACETATE,108-05-4,80.0
28,18,99,WATER,7732-18-5,14.0
29,18,207,ACETALDEHYDE,75-07-0,6.0
30,19,97,VINYL ACETATE,108-05-4,83.0
31,19,99,WATER,7732-18-5,10.0
32,19,207,ACETALDEHYDE,75-07-0,7.0
33,20,97,VINYL ACETATE,108-05-4,83.0
34,20,99,WATER,7732-18-5,10.0
35,20,207,ACETALDEHYDE,75-07-0,7.0
36,21,97,VINYL ACETATE,108-05-4,83.0
37,21,207,ACETALDEHYDE,75-07-0,7.0
38,21,99,WATER,7732-18-5,10.0
39,22,48,METHANOL,67-56-1,100.0
40,23,48,METHANOL,67-56-1,5.0
41,24,48,METHANOL,67-56-1,7.0
42,24,1483,DIMETHYL TEREPHTHALATE,120-61-6,93.0
43,25,48,METHANOL,67-56-1,7.0
44,25,1483,DIMETHYL TEREPHTHALATE,120-61-6,93.0
45,26,251,ETHYLENE GLYCOL,107-21-1,100.0
46,27,251,ETHYLENE GLYCOL,107-21-1,100.0
47,28,251,ETHYLENE GLYCOL,107-21-1,100.0
48,29,251,ETHYLENE GLYCOL,107-21-1,100.0
49,30,251,ETHYLENE GLYCOL,107-21-1,100.0
50,31,251,ETHYLENE GLYCOL,107-21-1,100.0
51,32,251,ETHYLENE GLYCOL,107-21-1,100.0
52,33,251,ETHYLENE GLYCOL,107-21-1,100.0
53,34,251,ETHYLENE GLYCOL,107-21-1,100.0
54,35,94,TOLUENE,108-88-3,11.0
55,35,10,ACETONE,67-64-1,65.0
56,35,29,ETHANOL,64-17-5,8.0
57,36,10,ACETONE,67-64-1,100.0
58,37,396,N-PROPYL ACETATE,109-60-4,100.0
59,38,396,N-PROPYL ACETATE,109-60-4,100.0
60,39,396,N-PROPYL ACETATE,109-60-4,100.0
61,40,89,PROPYLENE,115-07-1,100.0
62,41,89,PROPYLENE,115-07-1,100.0
63,42,1182,2-ETHYLHEXANAL,123-05-7,100.0
64,43,1483,DIMETHYL TEREPHTHALATE,120-61-6,100.0
65,44,10,ACETONE,67-64-1,6.0
66,44,99,WATER,7732-18-5,94.0
67,45,10,ACETONE,67-64-1,6.0
68,45,99,WATER,7732-18-5,94.0
69,46,10,ACETONE,67-64-1,6.0
70,46,99,WATER,7732-18-5,94.0
95,60,250,ACETIC ACID,64-19-7,1.0
96,60,422,PROPIONIC ACID,79-09-4,1.0
97,60,472,N-BUTYRIC ACID,107-92-6,2.0
98,61,25,CHLORINE,7782-50-5,100.0
