elev_m,ave_nbp_deg_c,overall_ave_mw,storage_ave_vap_mw,storage_shi,storage_temp_deg_c,storage_vapor_mol_composition,storage_shi_times_vapor_mol_composition,storage_total_vapor_moles,storage_shi_times_total_vapor_moles,storage_component_vapor_moles,storage_shi_times_component_vapor_moles,storage_total_moles,storage_shi_times_total_moles,storage_component_total_moles,storage_shi_times_component_total_moles,discharge_ave_vap_mw,discharge_shi,discharge_temp_deg_c,discharge_vapor_mol_composition,discharge_shi_times_vapor_mol_composition,discharge_total_vapor_moles,discharge_shi_times_total_vapor_moles,discharge_component_vapor_moles,discharge_shi_times_component_vapor_moles,discharge_total_moles,discharge_shi_times_total_moles,discharge_component_total_moles,discharge_shi_times_component_total_moles,release_duration_sec,conc_low_ppm,area_conc_low_m2,conc_high_ppm,catastrophic_release_01,discharge_diameter,release_orientation,pressure_psig,area_conc_high_m2
6,-189.4712567,36.48025888,36.48025888,0.001417143,0,0.496,0.000702903,1.918846032,0.002719279,0.951747632,0.001348762,1.918846032,0.002719279,0.951747632,0.001348762,36.48025888,0.001417143,-0.325981173,0.496,0.000702903,1.918846032,0.002719279,0.951747632,0.001348762,1.918846032,0.002719279,0.951747632,0.001348762,3600,705.6451613,47.5631162,7056.451613,0,8,6,60,0.000779099
3,-189.3911664,30.02763,28.41192048,1.98E-05,23,0.09892626,1.96E-06,183297.0227,3.626577776,18132.88888,0.358763775,333026.6158,6.5890155,166513.3079,3.29450775,29.13676744,5.58E-05,35.43715015,0.278857786,1.56E-05,229870.6181,12.82024234,64101.21168,3.575024396,333026.6158,18.57341296,166513.3079,9.286706482,3600,17930.2865,1.489193643,179302.865,0,0.8,0,7.3,0.004306781
3,99.55783274,18.02999729,18.52617281,4.24E-05,65,0.0212231,9.01E-07,0,0,0,0,2384.91439,0.101230552,1.107637223,4.70E-05,18.52618767,4.24E-05,64.99837973,0.021223723,9.01E-07,0,0,0,0,2384.91439,0.101233526,1.107637223,4.70E-05,3600,23558.54319,0.063800572,235585.4319,0,0.7,0,2.9,0.004717532
3,99.55783274,18.02999729,18.93677843,7.72E-05,35,0.038584788,2.98E-06,0,0,0,0,732.1132546,0.056496869,0.340018868,2.62E-05,18.93680335,7.72E-05,34.99873757,0.03858585,2.98E-06,0,0,0,0,732.1132546,0.056498424,0.340018868,2.62E-05,3600,12958.11815,0.499616116,129581.1815,0,10,0,2.9,0.005166373
0.5,-122.3603344,35.43688959,35.43688959,0.000172578,90,0.862888802,0.000148915,2821.918096,0.487000305,2435.001527,0.42022711,2821.918096,0.487000305,2435.001527,0.42022711,35.51599381,0.000171895,61.90448619,0.859475564,0.00014774,2720.104917,0.467572742,2337.863708,0.401867346,2821.918096,0.485073929,2435.001527,0.418564862,3600,5817.501055,1.188828992,58175.01055,0,0.28,0,23.2,0.006888458
1,58.78185466,35.41681192,35.41681192,0.000175902,90,0.879509466,0.000154707,2823.517832,0.496662132,2483.310659,0.436819046,2823.517832,0.496662132,2483.310659,0.436819046,35.48972467,0.000175381,62.35821351,0.876906378,0.000153793,2730.501284,0.478878798,2394.393992,0.419931873,2823.517832,0.495192159,2483.310659,0.435526191,3600,5701.862963,1.293154296,57018.62963,0,0.3,0,22,0.007728979
1,-195.3601174,28.8004857,28.78593115,0.000171564,19.9,0.042890975,7.36E-06,3469.196729,0.595188917,148.7972293,0.025528233,3472.163666,0.595697937,151.7335522,0.026032,28.79214009,0.000172949,19.89659122,0.043237178,7.48E-06,3470.468273,0.600213015,150.0532539,0.025951517,3472.163666,0.600506231,151.7335522,0.026242122,3600,5782.061008,0.47139886,57820.61008,0,2,0,7,0.014869661
6,-194.4229684,29.14213281,29.14213281,1.54E-05,30,0.001541479,2.38E-08,4.508787394,6.95E-05,0.006950202,1.07E-07,4.508787394,6.95E-05,0.006950202,1.07E-07,29.14213281,1.54E-05,24.36646925,0.001541479,2.38E-08,4.508787394,6.95E-05,0.006950202,1.07E-07,4.508787394,6.95E-05,0.006950202,1.07E-07,3600,64872.75254,8.028150153,648727.5254,0,8,0,1,0.017420771
3,-191.2973255,34.65734659,34.70419356,0.000318311,35,0.15915536,5.07E-05,258.1463995,0.082170767,41.08538326,0.013077918,259.6852006,0.082660583,41.17137153,0.013105289,34.69221112,0.000317993,35.00688745,0.158996445,5.06E-05,258.5539233,0.082218309,41.10915454,0.013072419,259.6852006,0.082578047,41.17137153,0.013092203,3600,3144.724408,0.727750167,31447.24408,0,2,0,2.9,0.022815616
0.3,100.3690688,64.63903274,40.8162596,0.000290358,65.9,0.043511704,1.26E-05,0,0,0,0,222.0288803,0.064467791,21.93229085,0.006368209,40.81625886,0.000290358,65.89994336,0.043511697,1.26E-05,0,0,0,0,222.0288803,0.06446778,21.93229085,0.006368208,3600,3444.028638,1.097609167,34440.28638,0,12,0,0.01,0.028676765
