StudyID,NodeID,Description,LOPATarget,LOPATargetDiscussion,Status,CreatedDate,CreatedBy,FrequencyEstimation,ApproxLatitude,ApproxLongitude,StudyForInhalation,StudyForFire,ReliefCalculation,StoragePressure,StorageTemperature,ExitPressure,ExitTemperature,ReliefRate,CatastrophicRelease,DischargeDiameter,ReleaseElevation,ReleaseOrientation,RelievingPhase,MaximumVolume,MolarComposition,Basis,MaximumMass,AvailablePoolArea,IndoorRelease,LOPAID,CapitalProject,ProcessingLog,DistNonProcPlantPop,ProcAreaPopDensity,Site,IncludeDiagnostics,PersonnelAtReleaseElevation,WeatherCondition,NightProcAreaPopDensity,ProductionRoomVol,ProductionRoomACH,ProductionRoomVentDiameter,ProductionRoomVentOrientation,ProductionRoomVentElevation
3,4,test release for DCE,,,0,2023-10-18 14:45:02.087,u858722,,,,True,True,True,,,50.0,170.0,2200.0,False,10.0,10.0,6,0,,False,Mass,1000.0,,False,1 - DCE Release,,,100.0,5.0,,False,False,both,2.0,,,,,
4,5,cl2 small,,,0,2023-10-18 16:01:07.160,u773253,,36.5,-82.5,True,False,False,500.0,25.0,,,,False,10.0,0.0,0,0,,False,Mass,1000.0,,False,,,,50.0,10.0,Kingsport,False,False,night,,,,,,
5,5,cl2 large - 1 in leak,,,0,2023-10-18 16:07:23.333,u773253,,36.52,-82.54,True,False,False,500.0,25.0,,,,False,1.0,0.0,0,0,,False,Mass,1000000.0,,False,,,,50.0,10.0,Kingsport,False,False,night,,,,,,
6,6,cl2 small,,,0,2023-10-18 17:09:39.347,u778836,,36.5,-82.5,True,False,False,500.0,25.0,,,,False,10.0,0.0,0,0,,False,Mass,1000.0,,False,,,,50.0,10.0,Kingsport,False,False,night,,,,,,
7,6,cl2 large - 1 in leak,,,0,2023-10-18 17:09:39.650,u778836,,36.52,-82.54,True,False,False,500.0,25.0,,,,False,1.0,0.0,0,0,,False,Mass,1000000.0,,False,,,,50.0,10.0,Kingsport,False,False,night,,,,,,
8,5,nh3 benzene small,,,0,2023-10-18 17:09:53.813,u773253,,36.52,-82.54,True,True,False,300.0,150.0,,,,False,10.0,0.0,0,0,,False,Mass,1000.0,,False,,,,50.0,10.0,Kingsport,False,False,night,,,,,,
9,6,cl2 small - COPY - 10/18/2023 13:28:49 -04:00,,,0,2023-10-18 13:28:49.347,u778836,,36.5,-82.5,True,False,False,500.0,25.0,,,,False,10.0,0.0,0,0,,False,Mass,1000.0,,False,,,,50.0,10.0,Kingsport,False,False,night,,,,,,
10,6,cl2 large - 1 in leak - COPY - 10/18/2023 13:29:12 -04:00,,,0,2023-10-18 13:29:12.483,u778836,,36.52,-82.54,True,False,False,500.0,25.0,,,,False,1.0,0.0,0,0,,False,Mass,1000000.0,,False,,,,50.0,10.0,Kingsport,False,False,night,,,,,,
11,5,nh3 benzene large,,,0,2023-10-18 13:48:49.493,u773253,,36.52,-82.54,True,True,False,300.0,150.0,,,,False,3.0,0.0,0,0,,False,Mass,1000000.0,,False,,,,50.0,10.0,Kingsport,False,False,night,,,,,,
12,5,nh3 benzene large - day and night - bldg occ test,,,0,2023-10-18 13:51:24.280,u773253,,36.52,-82.54,True,True,False,300.0,150.0,,,,False,3.0,0.0,0,0,,False,Mass,1000000.0,,False,,,,50.0,10.0,Kingsport,False,False,both,5.0,,,,,
