elev_m,ave_nbp_deg_k,overall_ave_mw,storage_ave_vap_mw,storage_shi,storage_lfl,storage_temp_deg_k,storage_vapor_mol_composition,storage_shi_times_vapor_mol_composition,storage_total_vapor_moles,storage_shi_times_total_vapor_moles,storage_component_vapor_moles,storage_shi_times_component_vapor_moles,storage_total_moles,storage_shi_times_total_moles,storage_component_total_moles,storage_shi_times_component_total_moles,discharge_ave_vap_mw,discharge_shi,discharge_lfl,discharge_temp_deg_k,discharge_vapor_mol_composition,discharge_shi_times_vapor_mol_composition,discharge_total_vapor_moles,discharge_shi_times_total_vapor_moles,discharge_component_vapor_moles,discharge_shi_times_component_vapor_moles,discharge_total_moles,discharge_shi_times_total_moles,discharge_component_total_moles,discharge_shi_times_component_total_moles,discharge_diameter_in,release_orientation_rad,press_psia,area_conc_high_m2
0,239.1593155,70.906,70.906,0.05,,298.15,1,0.05,0,0,0,0,1269.286097,63.46430485,1269.286097,63.46430485,70.906,0.05,,239.1593165,1,0.05,0,0,0,0,1269.286097,63.46430485,1269.286097,63.46430485,0.5,0.01,214.6959,3913650.972
0,239.7475658,17.03052,17.03052,0.000666667,150000,298.15,1,0.000666667,0,0,0,0,587181.1313,391.4540875,587181.1313,391.4540875,17.03052,0.000666667,150000,239.7475665,1,0.000666667,0,0,0,0,587181.1313,391.4540875,587181.1313,391.4540875,10,0.01,514.6959,3460904.951
0,239.1593155,70.906,70.906,0.05,,298.15,1,0.05,0,0,0,0,1269.286097,63.46430485,1269.286097,63.46430485,70.906,0.05,,239.1593165,1,0.05,0,0,0,0,1269.286097,63.46430485,1269.286097,63.46430485,8,0.01,214.6959,2833528.952
0,239.1593155,70.906,70.906,0.05,,298.15,1,0.05,0,0,0,0,14103.17886,705.1589428,14103.17886,705.1589428,70.906,0.05,,239.1593165,1,0.05,0,0,0,0,14103.17886,705.1589428,14103.17886,705.1589428,10,0.01,514.6959,1826995.597
0,239.1593155,70.906,70.906,0.05,,298.15,1,0.05,0,0,0,0,14103.17886,705.1589428,14103.17886,705.1589428,70.906,0.05,,239.1593165,1,0.05,0,0,0,0,14103.17886,705.1589428,14103.17886,705.1589428,10,0.01,514.6959,1826995.597
6,239.1593155,70.906,70.906,0.05,,298.15,1,0.05,0,0,0,0,196.5784836,9.828924181,196.5784836,9.828924181,70.906,0.05,,239.1593165,1,0.05,0,0,0,0,196.5784836,9.828924181,196.5784836,9.828924181,5,0.01,114.6959,1293612.872
0,239.1593155,70.906,70.906,0.05,,298.15,1,0.05,0,0,0,0,1269.286097,63.46430485,1269.286097,63.46430485,70.906,0.05,,239.1593165,1,0.05,0,0,0,0,1269.286097,63.46430485,1269.286097,63.46430485,2,0.01,214.6959,1073382.204
0,239.1593155,70.906,70.906,0.05,,298.15,1,0.05,0,0,0,0,196.5784836,9.828924181,196.5784836,9.828924181,70.906,0.05,,239.1593165,1,0.05,0,0,0,0,196.5784836,9.828924181,196.5784836,9.828924181,1,0.01,114.6959,758230.1926
6,239.1593155,70.906,70.906,0.05,,298.15,1,0.05,0,0,0,0,196.5784836,9.828924181,196.5784836,9.828924181,70.906,0.05,,239.1593165,1,0.05,0,0,0,0,196.5784836,9.828924181,196.5784836,9.828924181,6,0.01,114.6959,648462.3632
1,266.7769947,31.0571,31.0571,0.002,49000,308.15,1,0.002,0,0,0,0,5489.887981,10.97977596,5489.887981,10.97977596,31.0571,0.002,49000,266.7769928,1,0.002,0,0,0,0,5489.887981,10.97977596,5489.887981,10.97977596,4,0.01,94.6959,472942.5619
1,283.4926291,44.05256,44.05256,0.002,30000,297.04,1,0.002,0,0,0,0,3745.525799,7.491051598,3745.525799,7.491051598,44.05256,0.002,30000,283.4926288,1,0.002,0,0,0,0,3745.525799,7.491051598,3745.525799,7.491051598,3,0.01,69.6959,387740.9422
1,283.4926291,44.05256,44.05256,0.002,30000,285.93,1,0.002,0,0,0,0,3745.525799,7.491051598,3745.525799,7.491051598,44.05256,0.002,30000,283.4926288,1,0.002,0,0,0,0,3745.525799,7.491051598,3745.525799,7.491051598,3,0.01,69.6959,384950.0968
0,283.4926291,44.05256,44.05256,0.002,30000,294.25,1,0.002,0,0,0,0,2724.018763,5.448037526,2724.018763,5.448037526,44.05256,0.002,30000,283.4926288,1,0.002,0,0,0,0,2724.018763,5.448037526,2724.018763,5.448037526,3,0.01,64.6959,330365.5927
0,239.1593155,70.906,70.906,0.05,,298.15,1,0.05,0,0,0,0,1269.286097,63.46430485,1269.286097,63.46430485,70.906,0.05,,239.1593165,1,0.05,0,0,0,0,1269.286097,63.46430485,1269.286097,63.46430485,0.5,0.01,214.6959,265864.9377
0,239.1593155,70.906,70.906,0.05,,298.15,1,0.05,0,0,0,0,1269.286097,63.46430485,1269.286097,63.46430485,70.906,0.05,,239.1593165,1,0.05,0,0,0,0,1269.286097,63.46430485,1269.286097,63.46430485,1,0.01,214.6959,265864.9377
3,280.2234025,45.08368,45.08368,0.002857143,28000,298.15,1,0.002857143,0,0,0,0,1663.57316,4.753066171,1663.57316,4.753066171,45.08368,0.002857143,28000,280.2234046,1,0.002857143,0,0,0,0,1663.57316,4.753066171,1663.57316,4.753066171,2,0.01,74.6959,196570.7432
0,373.710701,46.0257,46.0257,0.004,120000,298.15,1,0.004,0,0,0,0,21726.99166,86.90796664,21726.99166,86.90796664,46.0257,0.004,120000,297.3591036,1,0.004,0,0,0,0,21726.99166,86.90796664,21726.99166,86.90796664,10,0.01,514.6959,190233.4182
1,266.7769947,31.0571,31.0571,0.002,49000,308.15,1,0.002,0,0,0,0,965.9626945,1.931925389,965.9626945,1.931925389,31.0571,0.002,49000,266.7769928,1,0.002,0,0,0,0,965.9626945,1.931925389,965.9626945,1.931925389,4,0.01,94.6959,154406.695
1,308.5723586,31.07596166,44.41263232,0.001625349,27686.36758,300.15,0.975209186,0.001585055,0,0,0,0,2154.623588,3.502014525,1039.620102,1.689745122,44.41279269,0.001625359,27686.19938,300.1386405,0.97521511,0.001585074,0,0,0,0,2154.623588,3.5020358,1039.620102,1.689755387,6,0.01,23.6959,141822.3764
1,280.2234025,45.08368,45.08368,0.002857143,28000,293.15,1,0.002857143,0,0,0,0,3992.575584,11.40735881,3992.575584,11.40735881,45.08368,0.002857143,28000,280.2234046,1,0.002857143,0,0,0,0,3992.575584,11.40735881,3992.575584,11.40735881,2,0.01,44.6959,140576.0598
0,283.4926291,44.05256,44.05256,0.002,30000,293.15,1,0.002,0,0,0,0,1189.818424,2.379636847,1189.818424,2.379636847,44.05256,0.002,30000,283.4926288,1,0.002,0,0,0,0,1189.818424,2.379636847,1189.818424,2.379636847,3,0.01,29.0074982,140286.9298
3,350.4502589,53.0626,53.0626,0.013333333,30500,298.15,1,0.013333333,0,0,0,0,1413.424898,18.84566531,1413.424898,18.84566531,53.0626,0.013333333,30500,298.130226,1,0.013333333,0,0,0,0,1413.424898,18.84566531,1413.424898,18.84566531,2,0.01,24.6959,139664.409
3,350.4502589,53.0626,53.0626,0.013333333,30500,298.15,1,0.013333333,0,0,0,0,1413.424898,18.84566531,1413.424898,18.84566531,53.0626,0.013333333,30500,298.130226,1,0.013333333,0,0,0,0,1413.424898,18.84566531,1413.424898,18.84566531,2,0.01,24.6959,139664.409
3,266.7769947,31.0571,31.0571,0.002,49000,298.15,1,0.002,0,0,0,0,2414.906736,4.829813473,2414.906736,4.829813473,31.0571,0.002,49000,266.7769928,1,0.002,0,0,0,0,2414.906736,4.829813473,2414.906736,4.829813473,2,0.01,79.6959,133682.9506
3,266.7769947,31.0571,31.0571,0.002,49000,298.15,1,0.002,0,0,0,0,2414.906736,4.829813473,2414.906736,4.829813473,31.0571,0.002,49000,266.7769928,1,0.002,0,0,0,0,2414.906736,4.829813473,2414.906736,4.829813473,2,0.01,79.6959,133682.9506
