study_id,elev_m,ave_nbp_deg_c,overall_ave_mw,storage_ave_vap_mw,storage_key_component,storage_shi,storage_lfl,storage_temp_deg_c,storage_vapor_mol_composition,storage_shi_times_vapor_mol_composition,storage_total_vapor_moles,storage_shi_times_total_vapor_moles,storage_component_vapor_moles,storage_shi_times_component_vapor_moles,storage_total_moles,storage_shi_times_total_moles,storage_component_total_moles,storage_shi_times_component_total_moles,discharge_ave_vap_mw,discharge_key_component,discharge_shi,discharge_lfl,discharge_temp_deg_c,discharge_vapor_mol_composition,discharge_shi_times_vapor_mol_composition,discharge_total_vapor_moles,discharge_shi_times_total_vapor_moles,discharge_component_vapor_moles,discharge_shi_times_component_vapor_moles,discharge_total_moles,discharge_shi_times_total_moles,discharge_component_total_moles,discharge_shi_times_component_total_moles,release_duration_sec,weather,hazard_type,conc_low_ppm,area_conc_low_m2,conc_high_ppm,area_conc_high_m2
4098,0,10.34262908,44.05256,44.05256,75-21-8,0.002,30000,25,1,0.002,6.719246282,0.013438493,6.719246282,0.013438493,6.719246282,0.013438493,6.719246282,0.013438493,44.05256,75-21-8,0.002,30000,21.52572699,1,0.002,6.719246282,0.013438493,6.719246282,0.013438493,6.719246282,0.013438493,6.719246282,0.013438493,3600,night,inhalation,500,34.73232831,5000,1.851529209
4098,0,10.34262908,44.05256,44.05256,75-21-8,0.002,30000,25,1,0.002,6.719246282,0.013438493,6.719246282,0.013438493,6.719246282,0.013438493,6.719246282,0.013438493,44.05256,75-21-8,0.002,30000,21.52572699,1,0.002,6.719246282,0.013438493,6.719246282,0.013438493,6.719246282,0.013438493,6.719246282,0.013438493,3600,night,flash_fire,15000,0.32330185,30000,0.085150878
4097,1,64.53476094,32.04186,32.04186,67-56-1,0.0002,71800,25,1,0.0002,0,0,0,0,616.0760841,0.123215217,616.0760841,0.123215217,32.04186,67-56-1,0.0002,71800,24.9390024,1,0.0002,0,0,0,0,616.0760841,0.123215217,616.0760841,0.123215217,10,night,inhalation,5000,13115.27581,50000,455.9184377
4097,1,64.53476094,32.04186,32.04186,67-56-1,0.0002,71800,25,1,0.0002,0,0,0,0,616.0760841,0.123215217,616.0760841,0.123215217,32.04186,67-56-1,0.0002,71800,24.9390024,1,0.0002,0,0,0,0,616.0760841,0.123215217,616.0760841,0.123215217,10,night,flash_fire,35900,1039.26225,71800,300.343344
4096,2,-249.3991611,16.75659452,16.75659452,630-08-0,0.001064857,64576.91291,40,0.532428271,0.00056696,5967.799716,6.354850572,3177.425286,3.383502104,5967.799716,6.354850572,3177.425286,3.383502104,16.75659452,630-08-0,0.001064857,64576.91291,-112.4442468,0.532428271,0.00056696,5967.799716,6.354850572,3177.425286,3.383502104,5967.799716,6.354850572,3177.425286,3.383502104,3600,night,inhalation,939.0936339,7579.208589,9390.936339,31.5179993
4096,2,-249.3991611,16.75659452,16.75659452,630-08-0,0.001064857,64576.91291,40,0.532428271,0.00056696,5967.799716,6.354850572,3177.425286,3.383502104,5967.799716,6.354850572,3177.425286,3.383502104,16.75659452,630-08-0,0.001064857,64576.91291,-112.4442468,0.532428271,0.00056696,5967.799716,6.354850572,3177.425286,3.383502104,5967.799716,6.354850572,3177.425286,3.383502104,3600,night,flash_fire,32288.45645,3.501856033,64576.91291,0.825982985
4095,2,-252.5714779,3.528740859,3.528740859,630-08-0,9.83E-05,41624.29917,40,0.049132596,4.83E-06,28338.72024,2.784709801,1392.354901,0.136820022,28338.72024,2.784709801,1392.354901,0.136820022,3.528740859,630-08-0,9.83E-05,41624.29917,-113.6529323,0.049132596,4.83E-06,28338.72024,2.784709801,1392.354901,0.136820022,28338.72024,2.784709801,1392.354901,0.136820022,3600,night,inhalation,10176.54343,124.3737542,101765.4343,1.613506546
4095,2,-252.5714779,3.528740859,3.528740859,630-08-0,9.83E-05,41624.29917,40,0.049132596,4.83E-06,28338.72024,2.784709801,1392.354901,0.136820022,28338.72024,2.784709801,1392.354901,0.136820022,3.528740859,630-08-0,9.83E-05,41624.29917,-113.6529323,0.049132596,4.83E-06,28338.72024,2.784709801,1392.354901,0.136820022,28338.72024,2.784709801,1392.354901,0.136820022,3600,night,flash_fire,20812.14959,33.00654321,41624.29917,10.37399119
4089,5,-252.5714779,3.528740859,3.528740859,630-08-0,9.83E-05,41624.29917,40,0.049132596,4.83E-06,28338.72024,2.784709801,1392.354901,0.136820022,28338.72024,2.784709801,1392.354901,0.136820022,3.528740859,630-08-0,9.83E-05,41624.29917,-113.6529323,0.049132596,4.83E-06,28338.72024,2.784709801,1392.354901,0.136820022,28338.72024,2.784709801,1392.354901,0.136820022,3600,night,inhalation,10176.54343,162.5766657,101765.4343,2.577595929
4089,5,-252.5714779,3.528740859,3.528740859,630-08-0,9.83E-05,41624.29917,40,0.049132596,4.83E-06,28338.72024,2.784709801,1392.354901,0.136820022,28338.72024,2.784709801,1392.354901,0.136820022,3.528740859,630-08-0,9.83E-05,41624.29917,-113.6529323,0.049132596,4.83E-06,28338.72024,2.784709801,1392.354901,0.136820022,28338.72024,2.784709801,1392.354901,0.136820022,3600,night,flash_fire,20812.14959,49.98923828,41624.29917,16.11752968
4085,6,-252.5714779,3.528740859,3.528740859,630-08-0,9.83E-05,41624.29917,40,0.049132596,4.83E-06,28338.72024,2.784709801,1392.354901,0.136820022,28338.72024,2.784709801,1392.354901,0.136820022,3.528740859,630-08-0,9.83E-05,41624.29917,-113.6529323,0.049132596,4.83E-06,28338.72024,2.784709801,1392.354901,0.136820022,28338.72024,2.784709801,1392.354901,0.136820022,3600,night,inhalation,10176.54343,379.440607,101765.4343,10.42138432
4085,6,-252.5714779,3.528740859,3.528740859,630-08-0,9.83E-05,41624.29917,40,0.049132596,4.83E-06,28338.72024,2.784709801,1392.354901,0.136820022,28338.72024,2.784709801,1392.354901,0.136820022,3.528740859,630-08-0,9.83E-05,41624.29917,-113.6529323,0.049132596,4.83E-06,28338.72024,2.784709801,1392.354901,0.136820022,28338.72024,2.784709801,1392.354901,0.136820022,3600,night,flash_fire,20812.14959,192.1218225,41624.29917,61.34774609
4076,5,-249.3991611,16.75659452,16.75659452,630-08-0,0.001064857,64576.91291,23.5,0.532428271,0.00056696,5967.799716,6.354850572,3177.425286,3.383502104,5967.799716,6.354850572,3177.425286,3.383502104,16.75659452,630-08-0,0.001064857,64576.91291,-121.5844393,0.532428271,0.00056696,5967.799716,6.354850572,3177.425286,3.383502104,5967.799716,6.354850572,3177.425286,3.383502104,3600,night,inhalation,939.0936339,9333.024032,9390.936339,46.67071552
