,study_id,elev_m,ave_nbp_deg_c,overall_ave_mw,storage_ave_vap_mw,storage_key_component,storage_shi,storage_lfl,storage_temp_deg_c,storage_vapor_mol_composition,storage_shi_times_vapor_mol_composition,storage_total_vapor_moles,storage_shi_times_total_vapor_moles,storage_component_vapor_moles,storage_shi_times_component_vapor_moles,storage_total_moles,storage_shi_times_total_moles,storage_component_total_moles,storage_shi_times_component_total_moles,discharge_ave_vap_mw,discharge_key_component,discharge_shi,discharge_lfl,discharge_temp_deg_c,discharge_vapor_mol_composition,discharge_shi_times_vapor_mol_composition,discharge_total_vapor_moles,discharge_shi_times_total_vapor_moles,discharge_component_vapor_moles,discharge_shi_times_component_vapor_moles,discharge_total_moles,discharge_shi_times_total_moles,discharge_component_total_moles,discharge_shi_times_component_total_moles,release_duration_sec,weather,hazard_type,conc_low_ppm,area_conc_low_m2,conc_high_ppm,area_conc_high_m2,log_elev_m,log_ave_nbp_deg_k,log_overall_ave_mw,log_storage_ave_vap_mw,log_storage_shi,log_storage_lfl,log_storage_temp_deg_k,log_storage_vapor_mol_composition,log_storage_shi_times_total_vapor_moles,log_storage_component_vapor_moles,log_storage_shi_times_component_vapor_moles,log_storage_total_moles,log_storage_shi_times_total_moles,log_storage_component_total_moles,log_storage_shi_times_component_total_moles,log_discharge_ave_vap_mw,log_discharge_shi,log_discharge_lfl,log_discharge_temp_deg_k,log_discharge_vapor_mol_composition,log_discharge_shi_times_vapor_mol_composition,log_discharge_total_vapor_moles,log_discharge_shi_times_total_vapor_moles,log_discharge_component_vapor_moles,log_discharge_shi_times_component_vapor_moles,log_discharge_total_moles,log_discharge_shi_times_total_moles,log_discharge_component_total_moles,log_discharge_shi_times_component_total_moles,log_release_duration_sec,log_conc_low_ppm,log_area_conc_low_m2,log_conc_high_ppm,log_area_conc_high_m2,log_storage_key_component,log_discharge_key_component,log_weather,log_hazard_type
0,4098,0.0,10.34262908,44.05256,44.05256,75-21-8,0.002,30000.0,25.0,1.0,0.002,6.719246282,0.013438493,6.719246282,0.013438493,6.719246282,0.013438493,6.719246282,0.013438493,44.05256,75-21-8,0.002,30000.0,21.52572699,1.0,0.002,6.719246282,0.013438493,6.719246282,0.013438493,6.719246282,0.013438493,6.719246282,0.013438493,3600.0,night,inhalation,500.0,34.73232831,5000.0,1.851529209,0.0,2.452541771548157,1.6439711513761834,1.6439711513761834,-2.6989700043360187,4.477121254719663,2.474434813681758,0.0,-1.8716494305738476,0.8273205596718712,-1.8716494305738476,0.8273205596718712,-1.8716494305738476,0.8273205596718712,-1.8716494305738476,1.6439711513761834,-2.6989700043360187,4.477121254719663,2.4693443636461327,0.0,-2.6989700043360187,0.8273205596718712,-1.8716494305738476,0.8273205596718712,-1.8716494305738476,0.8273205596718712,-1.8716494305738476,0.8273205596718712,-1.8716494305738476,3.5563025007672873,2.6989700043360187,1.5407338975719782,3.6989700043360187,0.26753056769924055,,,,
1,4098,0.0,10.34262908,44.05256,44.05256,75-21-8,0.002,30000.0,25.0,1.0,0.002,6.719246282,0.013438493,6.719246282,0.013438493,6.719246282,0.013438493,6.719246282,0.013438493,44.05256,75-21-8,0.002,30000.0,21.52572699,1.0,0.002,6.719246282,0.013438493,6.719246282,0.013438493,6.719246282,0.013438493,6.719246282,0.013438493,3600.0,night,flash_fire,15000.0,0.32330185,30000.0,0.085150878,0.0,2.452541771548157,1.6439711513761834,1.6439711513761834,-2.6989700043360187,4.477121254719663,2.474434813681758,0.0,-1.8716494305738476,0.8273205596718712,-1.8716494305738476,0.8273205596718712,-1.8716494305738476,0.8273205596718712,-1.8716494305738476,1.6439711513761834,-2.6989700043360187,4.477121254719663,2.4693443636461327,0.0,-2.6989700043360187,0.8273205596718712,-1.8716494305738476,0.8273205596718712,-1.8716494305738476,0.8273205596718712,-1.8716494305738476,0.8273205596718712,-1.8716494305738476,3.5563025007672873,4.176091259055681,-0.49039181025855594,4.477121254719663,-1.0698108696204731,,,,
2,4097,1.0,64.53476094,32.04186,32.04186,67-56-1,0.0002,71800.0,25.0,1.0,0.0002,0,0.0,0.0,0.0,616.0760841,0.123215217,616.0760841,0.123215217,32.04186,67-56-1,0.0002,71800.0,24.9390024,1.0,0.0002,0.0,0.0,0.0,0.0,616.0760841,0.123215217,616.0760841,0.123215217,10.0,night,inhalation,5000.0,13115.27581,50000.0,455.9184377,0.0,2.528511462207815,1.5057177185323694,1.5057177185323694,-3.6989700043360187,4.8561244442423,2.474434813681758,0.0,0.0,0.0,0.0,2.789634349931214,-0.9093356537703616,2.789634349931214,-0.9093356537703616,1.5057177185323694,-3.6989700043360187,4.8561244442423,2.4743459536069388,0.0,-3.6989700043360187,0.0,0.0,0.0,0.0,2.789634349931214,-0.9093356537703616,2.789634349931214,-0.9093356537703616,1.0,3.6989700043360187,4.117777428094619,4.698970004336019,2.658887155767337,,,,
3,4097,1.0,64.53476094,32.04186,32.04186,67-56-1,0.0002,71800.0,25.0,1.0,0.0002,0,0.0,0.0,0.0,616.0760841,0.123215217,616.0760841,0.123215217,32.04186,67-56-1,0.0002,71800.0,24.9390024,1.0,0.0002,0.0,0.0,0.0,0.0,616.0760841,0.123215217,616.0760841,0.123215217,10.0,night,flash_fire,35900.0,1039.26225,71800.0,300.343344,0.0,2.528511462207815,1.5057177185323694,1.5057177185323694,-3.6989700043360187,4.8561244442423,2.474434813681758,0.0,0.0,0.0,0.0,2.789634349931214,-0.9093356537703616,2.789634349931214,-0.9093356537703616,1.5057177185323694,-3.6989700043360187,4.8561244442423,2.4743459536069388,0.0,-3.6989700043360187,0.0,0.0,0.0,0.0,2.789634349931214,-0.9093356537703616,2.789634349931214,-0.9093356537703616,1.0,4.555094448578319,3.0167251523276857,4.8561244442423,2.4776180118581976,,,,
4,4096,2.0,-249.3991611,16.75659452,16.75659452,630-08-0,0.001064857,64576.91291,40.0,0.532428271,0.00056696,5967.799716,6.354850572,3177.425286,3.383502104,5967.799716,6.354850572,3177.425286,3.383502104,16.75659452,630-08-0,0.001064857,64576.91291,-112.4442468,0.532428271,0.00056696,5967.799716,6.354850572,3177.425286,3.383502104,5967.799716,6.354850572,3177.425286,3.383502104,3600.0,night,inhalation,939.0936339,7579.208589,9390.936339,31.5179993,0.3010299956639812,1.3756789538853726,1.224185760627768,1.224185760627768,-2.972708709859719,4.810077279792358,2.495752416037327,-0.2737388923158379,0.8031053430066571,3.502075347342676,0.5293664508816441,3.7758142394485947,0.8031053430066571,3.502075347342676,0.5293664508816441,1.224185760627768,-2.972708709859719,4.810077279792358,2.2060314246058375,-0.2737388923158379,-3.24644758024654,3.7758142394485947,0.8031053430066571,3.502075347342676,0.5293664508816441,3.7758142394485947,0.8031053430066571,3.502075347342676,0.5293664508816441,3.5563025007672873,2.972708896482034,3.879623859540467,3.972708896482034,1.4985586415412753,,,,
5,4096,2.0,-249.3991611,16.75659452,16.75659452,630-08-0,0.001064857,64576.91291,40.0,0.532428271,0.00056696,5967.799716,6.354850572,3177.425286,3.383502104,5967.799716,6.354850572,3177.425286,3.383502104,16.75659452,630-08-0,0.001064857,64576.91291,-112.4442468,0.532428271,0.00056696,5967.799716,6.354850572,3177.425286,3.383502104,5967.799716,6.354850572,3177.425286,3.383502104,3600.0,night,flash_fire,32288.45645,3.501856033,64576.91291,0.825982985,0.3010299956639812,1.3756789538853726,1.224185760627768,1.224185760627768,-2.972708709859719,4.810077279792358,2.495752416037327,-0.2737388923158379,0.8031053430066571,3.502075347342676,0.5293664508816441,3.7758142394485947,0.8031053430066571,3.502075347342676,0.5293664508816441,1.224185760627768,-2.972708709859719,4.810077279792358,2.2060314246058375,-0.2737388923158379,-3.24644758024654,3.7758142394485947,0.8031053430066571,3.502075347342676,0.5293664508816441,3.7758142394485947,0.8031053430066571,3.502075347342676,0.5293664508816441,3.5563025007672873,4.509047284061124,0.5442982875615645,4.810077279792358,-0.0830288989226202,,,,
6,4095,2.0,-252.5714779,3.528740859,3.528740859,630-08-0,9.83e-05,41624.29917,40.0,0.049132596,4.83E-06,28338.72024,2.784709801,1392.354901,0.136820022,28338.72024,2.784709801,1392.354901,0.136820022,3.528740859,630-08-0,9.83e-05,41624.29917,-113.6529323,0.049132596,4.83e-06,28338.72024,2.784709801,1392.354901,0.136820022,28338.72024,2.784709801,1392.354901,0.136820022,3600.0,night,inhalation,10176.54343,124.3737542,101765.4343,1.613506546,0.3010299956639812,1.313414181560423,0.5476197661415855,0.5476197661415855,-4.007446482167865,4.619346934342267,2.495752416037327,-1.3086302886091281,0.44477994335494936,3.143749947846925,-0.8638503440790043,4.45238023386996,0.44477994335494936,3.143749947846925,-0.8638503440790043,0.5476197661415855,-4.007446482167865,4.619346934342267,2.2027527031084633,-1.3086302886091281,-5.316052869248487,4.45238023386996,0.44477994335494936,3.143749947846925,-0.8638503440790043,4.45238023386996,0.44477994335494936,3.143749947846925,-0.8638503440790043,3.5563025007672873,4.007600290359049,2.0947287436289557,5.007600290359049,0.20777073167727222,,,,
7,4095,2.0,-252.5714779,3.528740859,3.528740859,630-08-0,9.83e-05,41624.29917,40.0,0.049132596,4.83E-06,28338.72024,2.784709801,1392.354901,0.136820022,28338.72024,2.784709801,1392.354901,0.136820022,3.528740859,630-08-0,9.83e-05,41624.29917,-113.6529323,0.049132596,4.83e-06,28338.72024,2.784709801,1392.354901,0.136820022,28338.72024,2.784709801,1392.354901,0.136820022,3600.0,night,flash_fire,20812.14959,33.00654321,41624.29917,10.37399119,0.3010299956639812,1.313414181560423,0.5476197661415855,0.5476197661415855,-4.007446482167865,4.619346934342267,2.495752416037327,-1.3086302886091281,0.44477994335494936,3.143749947846925,-0.8638503440790043,4.45238023386996,0.44477994335494936,3.143749947846925,-0.8638503440790043,0.5476197661415855,-4.007446482167865,4.619346934342267,2.2027527031084633,-1.3086302886091281,-5.316052869248487,4.45238023386996,0.44477994335494936,3.143749947846925,-0.8638503440790043,4.45238023386996,0.44477994335494936,3.143749947846925,-0.8638503440790043,3.5563025007672873,4.318316938782623,1.5186000428570179,4.619346934342267,1.0159458748378236,,,,
8,4089,5.0,-252.5714779,3.528740859,3.528740859,630-08-0,9.83e-05,41624.29917,40.0,0.049132596,4.83E-06,28338.72024,2.784709801,1392.354901,0.136820022,28338.72024,2.784709801,1392.354901,0.136820022,3.528740859,630-08-0,9.83e-05,41624.29917,-113.6529323,0.049132596,4.83e-06,28338.72024,2.784709801,1392.354901,0.136820022,28338.72024,2.784709801,1392.354901,0.136820022,3600.0,night,inhalation,10176.54343,162.5766657,101765.4343,2.577595929,0.6989700043360189,1.313414181560423,0.5476197661415855,0.5476197661415855,-4.007446482167865,4.619346934342267,2.495752416037327,-1.3086302886091281,0.44477994335494936,3.143749947846925,-0.8638503440790043,4.45238023386996,0.44477994335494936,3.143749947846925,-0.8638503440790043,0.5476197661415855,-4.007446482167865,4.619346934342267,2.2027527031084633,-1.3086302886091281,-5.316052869248487,4.45238023386996,0.44477994335494936,3.143749947846925,-0.8638503440790043,4.45238023386996,0.44477994335494936,3.143749947846925,-0.8638503440790043,3.5563025007672873,4.007600290359049,2.211058212322333,5.007600290359049,0.41121483716024837,,,,
9,4089,5.0,-252.5714779,3.528740859,3.528740859,630-08-0,9.83e-05,41624.29917,40.0,0.049132596,4.83E-06,28338.72024,2.784709801,1392.354901,0.136820022,28338.72024,2.784709801,1392.354901,0.136820022,3.528740859,630-08-0,9.83e-05,41624.29917,-113.6529323,0.049132596,4.83e-06,28338.72024,2.784709801,1392.354901,0.136820022,28338.72024,2.784709801,1392.354901,0.136820022,3600.0,night,flash_fire,20812.14959,49.98923828,41624.29917,16.11752968,0.6989700043360189,1.313414181560423,0.5476197661415855,0.5476197661415855,-4.007446482167865,4.619346934342267,2.495752416037327,-1.3086302886091281,0.44477994335494936,3.143749947846925,-0.8638503440790043,4.45238023386996,0.44477994335494936,3.143749947846925,-0.8638503440790043,0.5476197661415855,-4.007446482167865,4.619346934342267,2.2027527031084633,-1.3086302886091281,-5.316052869248487,4.45238023386996,0.44477994335494936,3.143749947846925,-0.8638503440790043,4.45238023386996,0.44477994335494936,3.143749947846925,-0.8638503440790043,3.5563025007672873,4.318316938782623,1.6988765191628095,4.619346934342267,1.2072984786255572,,,,
