,Unnamed: 0,study_id,elev_m,ave_nbp_deg_c,overall_ave_mw,storage_ave_vap_mw,storage_key_component,storage_shi,storage_lfl,storage_temp_deg_c,storage_vapor_mol_composition,storage_shi_times_vapor_mol_composition,storage_total_vapor_moles,storage_shi_times_total_vapor_moles,storage_component_vapor_moles,storage_shi_times_component_vapor_moles,storage_total_moles,storage_shi_times_total_moles,storage_component_total_moles,storage_shi_times_component_total_moles,discharge_ave_vap_mw,discharge_key_component,discharge_shi,discharge_lfl,discharge_temp_deg_c,discharge_vapor_mol_composition,discharge_shi_times_vapor_mol_composition,discharge_total_vapor_moles,discharge_shi_times_total_vapor_moles,discharge_component_vapor_moles,discharge_shi_times_component_vapor_moles,discharge_total_moles,discharge_shi_times_total_moles,discharge_component_total_moles,discharge_shi_times_component_total_moles,release_duration_sec,weather,hazard_type,conc_low_ppm,area_conc_low_m2,conc_high_ppm,area_conc_high_m2,log_elev_m,log_ave_nbp_deg_k,log_overall_ave_mw,log_storage_ave_vap_mw,log_storage_shi,log_storage_lfl,log_storage_temp_deg_k,log_storage_vapor_mol_composition,log_storage_shi_times_total_vapor_moles,log_storage_component_vapor_moles,log_storage_shi_times_component_vapor_moles,log_storage_total_moles,log_storage_shi_times_total_moles,log_storage_component_total_moles,log_storage_shi_times_component_total_moles,log_discharge_ave_vap_mw,log_discharge_shi,log_discharge_lfl,log_discharge_temp_deg_k,log_discharge_vapor_mol_composition,log_discharge_shi_times_vapor_mol_composition,log_discharge_total_vapor_moles,log_discharge_shi_times_total_vapor_moles,log_discharge_component_vapor_moles,log_discharge_shi_times_component_vapor_moles,log_discharge_total_moles,log_discharge_shi_times_total_moles,log_discharge_component_total_moles,log_discharge_shi_times_component_total_moles,log_release_duration_sec,log_conc_low_ppm,log_area_conc_low_m2,log_conc_high_ppm,log_area_conc_high_m2,log_storage_key_component,log_discharge_key_component,log_weather,log_hazard_type,catastrophic_release,discharge_diameter,release_orientation,pressure,log_discharge_diam,log_press_psia
0,0,4098,0,10.34262908,44.05256,44.05256,75-21-8,0.002,30000,25,1,0.002,6.719246282,0.013438493,6.719246282,0.013438493,6.719246282,0.013438493,6.719246282,0.013438493,44.05256,75-21-8,0.002,30000,21.52572699,1,0.002,6.719246282,0.013438493,6.719246282,0.013438493,6.719246282,0.013438493,6.719246282,0.013438493,3600,night,inhalation,500,34.73232831,5000,1.851529209,0,2.452541772,1.643971151,1.643971151,-2.698970004,4.477121255,2.474434814,0,-1.871649431,0.82732056,-1.871649431,0.82732056,-1.871649431,0.82732056,-1.871649431,1.643971151,-2.698970004,4.477121255,2.469344364,0,-2.698970004,0.82732056,-1.871649431,0.82732056,-1.871649431,0.82732056,-1.871649431,0.82732056,-1.871649431,3.556302501,2.698970004,1.540733898,3.698970004,0.267530568,,,,,FALSE,5,0,1,0.698970004,1.195786223
1,1,4098,0,10.34262908,44.05256,44.05256,75-21-8,0.002,30000,25,1,0.002,6.719246282,0.013438493,6.719246282,0.013438493,6.719246282,0.013438493,6.719246282,0.013438493,44.05256,75-21-8,0.002,30000,21.52572699,1,0.002,6.719246282,0.013438493,6.719246282,0.013438493,6.719246282,0.013438493,6.719246282,0.013438493,3600,night,flash_fire,15000,0.32330185,30000,0.085150878,0,2.452541772,1.643971151,1.643971151,-2.698970004,4.477121255,2.474434814,0,-1.871649431,0.82732056,-1.871649431,0.82732056,-1.871649431,0.82732056,-1.871649431,1.643971151,-2.698970004,4.477121255,2.469344364,0,-2.698970004,0.82732056,-1.871649431,0.82732056,-1.871649431,0.82732056,-1.871649431,0.82732056,-1.871649431,3.556302501,4.176091259,-0.49039181,4.477121255,-1.06981087,,,,,FALSE,5,0,1,0.698970004,1.195786223
2,2,4097,1,64.53476094,32.04186,32.04186,67-56-1,0.0002,71800,25,1,0.0002,0,0,0,0,616.0760841,0.123215217,616.0760841,0.123215217,32.04186,67-56-1,0.0002,71800,24.9390024,1,0.0002,0,0,0,0,616.0760841,0.123215217,616.0760841,0.123215217,10,night,inhalation,5000,13115.27581,50000,455.9184377,0,2.528511462,1.505717719,1.505717719,-3.698970004,4.856124444,2.474434814,0,0,0,0,2.78963435,-0.909335654,2.78963435,-0.909335654,1.505717719,-3.698970004,4.856124444,2.474345954,0,-3.698970004,0,0,0,0,2.78963435,-0.909335654,2.78963435,-0.909335654,1,3.698970004,4.117777428,4.698970004,2.658887156,,,,,TRUE,1,0,58,0,1.861509918
3,3,4097,1,64.53476094,32.04186,32.04186,67-56-1,0.0002,71800,25,1,0.0002,0,0,0,0,616.0760841,0.123215217,616.0760841,0.123215217,32.04186,67-56-1,0.0002,71800,24.9390024,1,0.0002,0,0,0,0,616.0760841,0.123215217,616.0760841,0.123215217,10,night,flash_fire,35900,1039.26225,71800,300.343344,0,2.528511462,1.505717719,1.505717719,-3.698970004,4.856124444,2.474434814,0,0,0,0,2.78963435,-0.909335654,2.78963435,-0.909335654,1.505717719,-3.698970004,4.856124444,2.474345954,0,-3.698970004,0,0,0,0,2.78963435,-0.909335654,2.78963435,-0.909335654,1,4.555094449,3.016725152,4.856124444,2.477618012,,,,,TRUE,1,0,58,0,1.861509918
4,4,4096,2,-249.3991611,16.75659452,16.75659452,630-08-0,0.001064857,64576.91291,40,0.532428271,0.00056696,5967.799716,6.354850572,3177.425286,3.383502104,5967.799716,6.354850572,3177.425286,3.383502104,16.75659452,630-08-0,0.001064857,64576.91291,-112.4442468,0.532428271,0.00056696,5967.799716,6.354850572,3177.425286,3.383502104,5967.799716,6.354850572,3177.425286,3.383502104,3600,night,inhalation,939.0936339,7579.208589,9390.936339,31.5179993,0.301029996,1.375678954,1.224185761,1.224185761,-2.97270871,4.81007728,2.495752416,-0.273738892,0.803105343,3.502075347,0.529366451,3.775814239,0.803105343,3.502075347,0.529366451,1.224185761,-2.97270871,4.81007728,2.206031425,-0.273738892,-3.24644758,3.775814239,0.803105343,3.502075347,0.529366451,3.775814239,0.803105343,3.502075347,0.529366451,3.556302501,2.972708896,3.87962386,3.972708896,1.498558642,,,,,FALSE,0.4,0,682,-0.397940009,2.843043255
5,5,4096,2,-249.3991611,16.75659452,16.75659452,630-08-0,0.001064857,64576.91291,40,0.532428271,0.00056696,5967.799716,6.354850572,3177.425286,3.383502104,5967.799716,6.354850572,3177.425286,3.383502104,16.75659452,630-08-0,0.001064857,64576.91291,-112.4442468,0.532428271,0.00056696,5967.799716,6.354850572,3177.425286,3.383502104,5967.799716,6.354850572,3177.425286,3.383502104,3600,night,flash_fire,32288.45645,3.501856033,64576.91291,0.825982985,0.301029996,1.375678954,1.224185761,1.224185761,-2.97270871,4.81007728,2.495752416,-0.273738892,0.803105343,3.502075347,0.529366451,3.775814239,0.803105343,3.502075347,0.529366451,1.224185761,-2.97270871,4.81007728,2.206031425,-0.273738892,-3.24644758,3.775814239,0.803105343,3.502075347,0.529366451,3.775814239,0.803105343,3.502075347,0.529366451,3.556302501,4.509047284,0.544298288,4.81007728,-0.083028899,,,,,FALSE,0.4,0,682,-0.397940009,2.843043255
6,6,4095,2,-252.5714779,3.528740859,3.528740859,630-08-0,9.83E-05,41624.29917,40,0.049132596,4.83E-06,28338.72024,2.784709801,1392.354901,0.136820022,28338.72024,2.784709801,1392.354901,0.136820022,3.528740859,630-08-0,9.83E-05,41624.29917,-113.6529323,0.049132596,4.83E-06,28338.72024,2.784709801,1392.354901,0.136820022,28338.72024,2.784709801,1392.354901,0.136820022,3600,night,inhalation,10176.54343,124.3737542,101765.4343,1.613506546,0.301029996,1.313414182,0.547619766,0.547619766,-4.007446482,4.619346934,2.495752416,-1.308630289,0.444779943,3.143749948,-0.863850344,4.452380234,0.444779943,3.143749948,-0.863850344,0.547619766,-4.007446482,4.619346934,2.202752703,-1.308630289,-5.316052869,4.452380234,0.444779943,3.143749948,-0.863850344,4.452380234,0.444779943,3.143749948,-0.863850344,3.556302501,4.00760029,2.094728744,5.00760029,0.207770732,,,,,FALSE,0.4,0,834,-0.397940009,2.928752104
7,7,4095,2,-252.5714779,3.528740859,3.528740859,630-08-0,9.83E-05,41624.29917,40,0.049132596,4.83E-06,28338.72024,2.784709801,1392.354901,0.136820022,28338.72024,2.784709801,1392.354901,0.136820022,3.528740859,630-08-0,9.83E-05,41624.29917,-113.6529323,0.049132596,4.83E-06,28338.72024,2.784709801,1392.354901,0.136820022,28338.72024,2.784709801,1392.354901,0.136820022,3600,night,flash_fire,20812.14959,33.00654321,41624.29917,10.37399119,0.301029996,1.313414182,0.547619766,0.547619766,-4.007446482,4.619346934,2.495752416,-1.308630289,0.444779943,3.143749948,-0.863850344,4.452380234,0.444779943,3.143749948,-0.863850344,0.547619766,-4.007446482,4.619346934,2.202752703,-1.308630289,-5.316052869,4.452380234,0.444779943,3.143749948,-0.863850344,4.452380234,0.444779943,3.143749948,-0.863850344,3.556302501,4.318316939,1.518600043,4.619346934,1.015945875,,,,,FALSE,0.4,0,834,-0.397940009,2.928752104
8,8,4089,5,-252.5714779,3.528740859,3.528740859,630-08-0,9.83E-05,41624.29917,40,0.049132596,4.83E-06,28338.72024,2.784709801,1392.354901,0.136820022,28338.72024,2.784709801,1392.354901,0.136820022,3.528740859,630-08-0,9.83E-05,41624.29917,-113.6529323,0.049132596,4.83E-06,28338.72024,2.784709801,1392.354901,0.136820022,28338.72024,2.784709801,1392.354901,0.136820022,3600,night,inhalation,10176.54343,162.5766657,101765.4343,2.577595929,0.698970004,1.313414182,0.547619766,0.547619766,-4.007446482,4.619346934,2.495752416,-1.308630289,0.444779943,3.143749948,-0.863850344,4.452380234,0.444779943,3.143749948,-0.863850344,0.547619766,-4.007446482,4.619346934,2.202752703,-1.308630289,-5.316052869,4.452380234,0.444779943,3.143749948,-0.863850344,4.452380234,0.444779943,3.143749948,-0.863850344,3.556302501,4.00760029,2.211058212,5.00760029,0.411214837,,,,,FALSE,0.5,0,834,-0.301029996,2.928752104
9,9,4089,5,-252.5714779,3.528740859,3.528740859,630-08-0,9.83E-05,41624.29917,40,0.049132596,4.83E-06,28338.72024,2.784709801,1392.354901,0.136820022,28338.72024,2.784709801,1392.354901,0.136820022,3.528740859,630-08-0,9.83E-05,41624.29917,-113.6529323,0.049132596,4.83E-06,28338.72024,2.784709801,1392.354901,0.136820022,28338.72024,2.784709801,1392.354901,0.136820022,3600,night,flash_fire,20812.14959,49.98923828,41624.29917,16.11752968,0.698970004,1.313414182,0.547619766,0.547619766,-4.007446482,4.619346934,2.495752416,-1.308630289,0.444779943,3.143749948,-0.863850344,4.452380234,0.444779943,3.143749948,-0.863850344,0.547619766,-4.007446482,4.619346934,2.202752703,-1.308630289,-5.316052869,4.452380234,0.444779943,3.143749948,-0.863850344,4.452380234,0.444779943,3.143749948,-0.863850344,3.556302501,4.318316939,1.698876519,4.619346934,1.207298479,,,,,FALSE,0.5,0,834,-0.301029996,2.928752104
