study_id,elev_m,ave_nbp_deg_k,overall_ave_mw,storage_ave_vap_mw,storage_key_component,storage_shi,storage_lfl,storage_temp_deg_k,storage_vapor_mol_composition,storage_shi_times_vapor_mol_composition,storage_total_vapor_moles,storage_shi_times_total_vapor_moles,storage_component_vapor_moles,storage_shi_times_component_vapor_moles,storage_total_moles,storage_shi_times_total_moles,storage_component_total_moles,storage_shi_times_component_total_moles,discharge_ave_vap_mw,discharge_key_component,discharge_shi,discharge_lfl,discharge_temp_deg_k,discharge_vapor_mol_composition,discharge_shi_times_vapor_mol_composition,discharge_total_vapor_moles,discharge_shi_times_total_vapor_moles,discharge_component_vapor_moles,discharge_shi_times_component_vapor_moles,discharge_total_moles,discharge_shi_times_total_moles,discharge_component_total_moles,discharge_shi_times_component_total_moles,release_duration_sec,hazard_type,catastrophic_release_01,discharge_diameter_in,release_orientation,press_psia,conc_low_ppm,area_conc_low_m2,conc_high_ppm,area_conc_high_m2,log_elev_m,log_ave_nbp_deg_k,log_overall_ave_mw,log_storage_ave_vap_mw,log_storage_shi,log_storage_lfl,log_storage_temp_deg_k,log_storage_vapor_mol_composition,log_storage_shi_times_vapor_mol_composition,log_storage_total_vapor_moles,log_storage_shi_times_total_vapor_moles,log_storage_component_vapor_moles,log_storage_shi_times_component_vapor_moles,log_storage_total_moles,log_storage_shi_times_total_moles,log_storage_component_total_moles,log_storage_shi_times_component_total_moles,log_discharge_ave_vap_mw,log_discharge_shi,log_discharge_lfl,log_discharge_temp_deg_k,log_discharge_vapor_mol_composition,log_discharge_shi_times_vapor_mol_composition,log_discharge_total_vapor_moles,log_discharge_shi_times_total_vapor_moles,log_discharge_component_vapor_moles,log_discharge_shi_times_component_vapor_moles,log_discharge_total_moles,log_discharge_shi_times_total_moles,log_discharge_component_total_moles,log_discharge_shi_times_component_total_moles,log_release_duration_sec,log_catastrophic_release_01,log_discharge_diameter_in,log_release_orientation,log_press_psia,log_conc_low_ppm,log_area_conc_low_m2,log_conc_high_ppm,log_area_conc_high_m2,percentile_elev_m,percentile_ave_nbp_deg_k,percentile_overall_ave_mw,percentile_storage_ave_vap_mw,percentile_storage_shi,percentile_storage_lfl,percentile_storage_temp_deg_k,percentile_storage_vapor_mol_composition,percentile_storage_shi_times_vapor_mol_composition,percentile_storage_total_vapor_moles,percentile_storage_shi_times_total_vapor_moles,percentile_storage_component_vapor_moles,percentile_storage_shi_times_component_vapor_moles,percentile_storage_total_moles,percentile_storage_shi_times_total_moles,percentile_storage_component_total_moles,percentile_storage_shi_times_component_total_moles,percentile_discharge_ave_vap_mw,percentile_discharge_shi,percentile_discharge_lfl,percentile_discharge_temp_deg_k,percentile_discharge_vapor_mol_composition,percentile_discharge_shi_times_vapor_mol_composition,percentile_discharge_total_vapor_moles,percentile_discharge_shi_times_total_vapor_moles,percentile_discharge_component_vapor_moles,percentile_discharge_shi_times_component_vapor_moles,percentile_discharge_total_moles,percentile_discharge_shi_times_total_moles,percentile_discharge_component_total_moles,percentile_discharge_shi_times_component_total_moles,percentile_release_duration_sec,percentile_catastrophic_release_01,percentile_discharge_diameter_in,percentile_release_orientation,percentile_press_psia,percentile_conc_low_ppm,percentile_area_conc_low_m2,percentile_conc_high_ppm,percentile_area_conc_high_m2,percentile_log_elev_m,percentile_log_ave_nbp_deg_k,percentile_log_overall_ave_mw,percentile_log_storage_ave_vap_mw,percentile_log_storage_shi,percentile_log_storage_lfl,percentile_log_storage_temp_deg_k,percentile_log_storage_vapor_mol_composition,percentile_log_storage_shi_times_vapor_mol_composition,percentile_log_storage_total_vapor_moles,percentile_log_storage_shi_times_total_vapor_moles,percentile_log_storage_component_vapor_moles,percentile_log_storage_shi_times_component_vapor_moles,percentile_log_storage_total_moles,percentile_log_storage_shi_times_total_moles,percentile_log_storage_component_total_moles,percentile_log_storage_shi_times_component_total_moles,percentile_log_discharge_ave_vap_mw,percentile_log_discharge_shi,percentile_log_discharge_lfl,percentile_log_discharge_temp_deg_k,percentile_log_discharge_vapor_mol_composition,percentile_log_discharge_shi_times_vapor_mol_composition,percentile_log_discharge_total_vapor_moles,percentile_log_discharge_shi_times_total_vapor_moles,percentile_log_discharge_component_vapor_moles,percentile_log_discharge_shi_times_component_vapor_moles,percentile_log_discharge_total_moles,percentile_log_discharge_shi_times_total_moles,percentile_log_discharge_component_total_moles,percentile_log_discharge_shi_times_component_total_moles,percentile_log_release_duration_sec,percentile_log_catastrophic_release_01,percentile_log_discharge_diameter_in,percentile_log_release_orientation,percentile_log_press_psia,percentile_log_conc_low_ppm,percentile_log_area_conc_low_m2,percentile_log_conc_high_ppm,percentile_log_area_conc_high_m2
2693,3,280.2234025,45.08368,45.08368,124-40-3,0.002857143,28000,299.85,1,0.002857143,0,0,0,0,45721.8,130.6337143,45721.8,130.6337143,45.08368,124-40-3,0.002857143,28000,280.2234046,1,0.002857143,0,0,0,0,45721.8,130.6337143,45721.8,130.6337143,10,inhalation,1,8,0,134.6959,350,76353184.43,3500,12924101.84,0.477121255,2.447504402,1.654019359,1.654019359,-2.544068023,4.447158031,2.476904053,0,-2.544068023,-10,-10,-10,-10,4.66012332,2.116055275,4.66012332,2.116055275,1.654019359,-2.544068023,4.447158031,2.447504405,0,-2.544068023,-10,-10,-10,-10,4.66012332,2.116055275,4.66012332,2.116055275,1,0,0.903089987,-10,2.129354376,2.544068044,7.882827155,3.544068044,7.111400372,0.5,0.421998277,0.123282227,0.126643058,0.004284087,0.025017958,0.172836096,1,0.004285679,0,0,0,0,2.50E-06,3.57E-06,2.50E-06,3.57E-06,0.126643061,0.004284087,0.02765993,0.203424608,1,0.004285679,0,0,0,0,2.50E-06,3.57E-06,2.50E-06,3.57E-06,0,1,0.08,0,0.019999837,0.000771769,1,0.003858895,1,0.97207035,0.761721449,0.602133964,0.60527011,0.758957781,0.902992325,0.415184046,1,0.682036892,0,0,0,0,0.579189277,0.620921822,0.579189277,0.625192479,0.605270113,0.758957781,0.905451685,0.544686015,1,0.682036892,0,0,0,0,0.579189277,0.620921822,0.579189277,0.625192479,0,1,0.908590832,0,0.368351103,0.432220941,1,0.495428312,1
2789,0,239.1593155,70.906,70.906,7782-50-5,0.05,,298.15,1,0.05,0,0,0,0,1269.286097,63.46430485,1269.286097,63.46430485,70.906,7782-50-5,0.05,,239.1593165,1,0.05,0,0,0,0,1269.286097,63.46430485,1269.286097,63.46430485,3600,inhalation,0,0.5,0,214.6959,20,19703450.72,200,3913650.972,-10,2.378687302,1.850682986,1.850682986,-1.301029996,-10,2.474434814,0,-1.301029996,-10,-10,-10,-10,3.103559523,1.802529527,3.103559523,1.802529527,1.850682986,-1.301029996,-10,2.378687304,0,-1.301029996,-10,-10,-10,-10,3.103559523,1.802529527,3.103559523,1.802529527,3.556302501,-10,-0.301029996,-10,2.331823751,1.301029996,7.294542292,2.301029996,6.592582092,0,0.35530641,0.197199007,0.202574905,0.074998488,,0.171270718,1,0.074999967,0,0,0,0,6.93E-08,1.73E-06,6.93E-08,1.73E-06,0.202574909,0.074998488,,0.167121584,1,0.074999967,0,0,0,0,6.93E-08,1.73E-06,6.93E-08,1.73E-06,1,0,0.005,0,0.033333172,4.10E-05,0.258056699,0.000204848,0.302818023,0,0.715664757,0.689879834,0.693472994,0.8854897,0,0.412783725,1,0.848947412,0,0,0,0,0.462272354,0.599104441,0.462272354,0.60362089,0.693472997,0.8854897,0,0.494540078,1,0.848947412,0,0,0,0,0.462272354,0.599104441,0.462272354,0.60362089,1,0,0.8082475,0,0.445866536,0.205332283,0.945430937,0.235359782,0.94923613
3823,0,239.7475658,17.03052,17.03052,7664-41-7,0.000666667,150000,298.15,1,0.000666667,0,0,0,0,587181.1313,391.4540875,587181.1313,391.4540875,17.03052,7664-41-7,0.000666667,150000,239.7475665,1,0.000666667,0,0,0,0,587181.1313,391.4540875,587181.1313,391.4540875,3600,inhalation,0,10,0,514.6959,1500,32659794.16,15000,3460904.951,-10,2.379754206,1.231227909,1.231227909,-3.176091042,5.176091259,2.474434814,0,-3.176091042,-10,-10,-10,-10,5.768772091,2.592680832,5.768772091,2.592680832,1.231227909,-3.176091042,5.176091259,2.379754208,0,-3.176091042,-10,-10,-10,-10,5.768772091,2.592680832,5.768772091,2.592680832,3.556302501,-10,1,-10,2.711550709,3.176091259,7.514013443,4.176091259,6.539189672,0,0.356261782,0.042979633,0.044151313,0.000998367,0.147623352,0.171270718,1,0.000999965,0,0,0,0,3.21E-05,1.07E-05,3.21E-05,1.07E-05,0.044151314,0.000998367,0.163212824,0.16764163,1,0.000999965,0,0,0,0,3.21E-05,1.07E-05,3.21E-05,1.07E-05,1,0,0.1,0,0.083333181,0.003318495,0.427746327,0.016592695,0.267786883,0,0.716378796,0.413496116,0.415649763,0.694622592,0.94855292,0.412783725,1,0.597171192,0,0,0,0,0.662462319,0.654088863,0.662462319,0.657985864,0.415649765,0.694622592,0.951136367,0.495317514,1,0.597171192,0,0,0,0,0.662462319,0.654088863,0.662462319,0.657985864,1,0,0.916666667,0,0.591245062,0.547582574,0.965788991,0.627660264,0.944011939
2785,0,239.1593155,70.906,70.906,7782-50-5,0.05,,298.15,1,0.05,0,0,0,0,1269.286097,63.46430485,1269.286097,63.46430485,70.906,7782-50-5,0.05,,239.1593165,1,0.05,0,0,0,0,1269.286097,63.46430485,1269.286097,63.46430485,3600,inhalation,0,8,0,214.6959,20,17046303.13,200,2833528.952,-10,2.378687302,1.850682986,1.850682986,-1.301029996,-10,2.474434814,0,-1.301029996,-10,-10,-10,-10,3.103559523,1.802529527,3.103559523,1.802529527,1.850682986,-1.301029996,-10,2.378687304,0,-1.301029996,-10,-10,-10,-10,3.103559523,1.802529527,3.103559523,1.802529527,3.556302501,-10,0.903089987,-10,2.331823751,1.301029996,7.231630207,2.301029996,6.452327654,0,0.35530641,0.197199007,0.202574905,0.074998488,,0.171270718,1,0.074999967,0,0,0,0,6.93E-08,1.73E-06,6.93E-08,1.73E-06,0.202574909,0.074998488,,0.167121584,1,0.074999967,0,0,0,0,6.93E-08,1.73E-06,6.93E-08,1.73E-06,1,0,0.08,0,0.033333172,4.10E-05,0.223255955,0.000204848,0.219243781,0,0.715664757,0.689879834,0.693472994,0.8854897,0,0.412783725,1,0.848947412,0,0,0,0,0.462272354,0.599104441,0.462272354,0.60362089,0.693472997,0.8854897,0,0.494540078,1,0.848947412,0,0,0,0,0.462272354,0.599104441,0.462272354,0.60362089,1,0,0.908590832,0,0.445866536,0.205332283,0.939595238,0.235359782,0.935512909
2693,3,280.2234025,45.08368,45.08368,124-40-3,0.002857143,28000,299.85,1,0.002857143,0,0,0,0,45721.8,130.6337143,45721.8,130.6337143,45.08368,124-40-3,0.002857143,28000,280.2234046,1,0.002857143,0,0,0,0,45721.8,130.6337143,45721.8,130.6337143,10,flash_fire,1,1,0,134.6959,14000,4456404.714,28000,2213693.261,0.477121255,2.447504402,1.654019359,1.654019359,-2.544068023,4.447158031,2.476904053,0,-2.544068023,-10,-10,-10,-10,4.66012332,2.116055275,4.66012332,2.116055275,1.654019359,-2.544068023,4.447158031,2.447504405,0,-2.544068023,-10,-10,-10,-10,4.66012332,2.116055275,4.66012332,2.116055275,1,0,0,-10,2.129354376,4.146128036,6.648984625,4.447158031,6.345117443,0.5,0.421998277,0.123282227,0.126643058,0.004284087,0.025017958,0.172836096,1,0.004285679,0,0,0,0,2.50E-06,3.57E-06,2.50E-06,3.57E-06,0.126643061,0.004284087,0.02765993,0.203424608,1,0.004285679,0,0,0,0,2.50E-06,3.57E-06,2.50E-06,3.57E-06,0,1,0.01,0,0.019999837,0.031000302,0.058365669,0.030987426,0.171284108,0.97207035,0.761721449,0.602133964,0.60527011,0.758957781,0.902992325,0.415184046,1,0.682036892,0,0,0,0,0.579189277,0.620921822,0.579189277,0.625192479,0.605270113,0.758957781,0.905451685,0.544686015,1,0.682036892,0,0,0,0,0.579189277,0.620921822,0.579189277,0.625192479,0,1,0.833333333,0,0.368351103,0.724640986,0.885549272,0.684372878,0.925022906
4015,0,239.1593155,70.906,70.906,7782-50-5,0.05,,298.15,1,0.05,0,0,0,0,14103.17886,705.1589428,14103.17886,705.1589428,70.906,7782-50-5,0.05,,239.1593165,1,0.05,0,0,0,0,14103.17886,705.1589428,14103.17886,705.1589428,3600,inhalation,0,10,0,514.6959,20,13886863.93,200,1826995.597,-10,2.378687302,1.850682986,1.850682986,-1.301029996,-10,2.474434814,0,-1.301029996,-10,-10,-10,-10,4.149317014,2.848287018,4.149317014,2.848287018,1.850682986,-1.301029996,-10,2.378687304,0,-1.301029996,-10,-10,-10,-10,4.149317014,2.848287018,4.149317014,2.848287018,3.556302501,-10,1,-10,2.711550709,1.301029996,7.14260418,2.301029996,6.261737501,0,0.35530641,0.197199007,0.202574905,0.074998488,,0.171270718,1,0.074999967,0,0,0,0,7.70E-07,1.93E-05,7.70E-07,1.93E-05,0.202574909,0.074998488,,0.167121584,1,0.074999967,0,0,0,0,7.70E-07,1.93E-05,7.70E-07,1.93E-05,1,0,0.1,0,0.083333181,4.10E-05,0.181876683,0.000204848,0.141363448,0,0.715664757,0.689879834,0.693472994,0.8854897,0,0.412783725,1,0.848947412,0,0,0,0,0.540821494,0.671875784,0.540821494,0.675572398,0.693472997,0.8854897,0,0.494540078,1,0.848947412,0,0,0,0,0.540821494,0.671875784,0.540821494,0.675572398,1,0,0.916666667,0,0.591245062,0.205332283,0.93133722,0.235359782,0.91686458
4013,0,239.1593155,70.906,70.906,7782-50-5,0.05,,298.15,1,0.05,0,0,0,0,14103.17886,705.1589428,14103.17886,705.1589428,70.906,7782-50-5,0.05,,239.1593165,1,0.05,0,0,0,0,14103.17886,705.1589428,14103.17886,705.1589428,3600,inhalation,0,10,0,514.6959,20,13886863.93,200,1826995.597,-10,2.378687302,1.850682986,1.850682986,-1.301029996,-10,2.474434814,0,-1.301029996,-10,-10,-10,-10,4.149317014,2.848287018,4.149317014,2.848287018,1.850682986,-1.301029996,-10,2.378687304,0,-1.301029996,-10,-10,-10,-10,4.149317014,2.848287018,4.149317014,2.848287018,3.556302501,-10,1,-10,2.711550709,1.301029996,7.14260418,2.301029996,6.261737501,0,0.35530641,0.197199007,0.202574905,0.074998488,,0.171270718,1,0.074999967,0,0,0,0,7.70E-07,1.93E-05,7.70E-07,1.93E-05,0.202574909,0.074998488,,0.167121584,1,0.074999967,0,0,0,0,7.70E-07,1.93E-05,7.70E-07,1.93E-05,1,0,0.1,0,0.083333181,4.10E-05,0.181876683,0.000204848,0.141363448,0,0.715664757,0.689879834,0.693472994,0.8854897,0,0.412783725,1,0.848947412,0,0,0,0,0.540821494,0.671875784,0.540821494,0.675572398,0.693472997,0.8854897,0,0.494540078,1,0.848947412,0,0,0,0,0.540821494,0.671875784,0.540821494,0.675572398,1,0,0.916666667,0,0.591245062,0.205332283,0.93133722,0.235359782,0.91686458
2479,6,239.1593155,70.906,70.906,7782-50-5,0.05,,298.15,1,0.05,0,0,0,0,196.5784836,9.828924181,196.5784836,9.828924181,70.906,7782-50-5,0.05,,239.1593165,1,0.05,0,0,0,0,196.5784836,9.828924181,196.5784836,9.828924181,3600,inhalation,0,5,0,114.6959,20,9916399.066,200,1293612.872,0.77815125,2.378687302,1.850682986,1.850682986,-1.301029996,-10,2.474434814,0,-1.301029996,-10,-10,-10,-10,2.293535981,0.992505985,2.293535981,0.992505985,1.850682986,-1.301029996,-10,2.378687304,0,-1.301029996,-10,-10,-10,-10,2.293535981,0.992505985,2.293535981,0.992505985,3.556302501,-10,0.698970004,-10,2.059547894,1.301029996,6.996353996,2.301029996,6.111804328,1,0.35530641,0.197199007,0.202574905,0.074998488,,0.171270718,1,0.074999967,0,0,0,0,1.07E-08,2.68E-07,1.07E-08,2.68E-07,0.202574909,0.074998488,,0.167121584,1,0.074999967,0,0,0,0,1.07E-08,2.68E-07,1.07E-08,2.68E-07,1,0,0.05,0,0.016666503,4.10E-05,0.129875383,0.000204848,0.100093058,1,0.715664757,0.689879834,0.693472994,0.8854897,0,0.412783725,1,0.848947412,0,0,0,0,0.401429708,0.542737165,0.401429708,0.547888643,0.693472997,0.8854897,0,0.494540078,1,0.848947412,0,0,0,0,0.401429708,0.542737165,0.401429708,0.547888643,1,0,0.891580834,0,0.34162568,0.205332283,0.917771113,0.235359782,0.902194341
2786,0,239.1593155,70.906,70.906,7782-50-5,0.05,,298.15,1,0.05,0,0,0,0,1269.286097,63.46430485,1269.286097,63.46430485,70.906,7782-50-5,0.05,,239.1593165,1,0.05,0,0,0,0,1269.286097,63.46430485,1269.286097,63.46430485,3600,inhalation,0,2,0,214.6959,20,9090655.386,200,1073382.204,-10,2.378687302,1.850682986,1.850682986,-1.301029996,-10,2.474434814,0,-1.301029996,-10,-10,-10,-10,3.103559523,1.802529527,3.103559523,1.802529527,1.850682986,-1.301029996,-10,2.378687304,0,-1.301029996,-10,-10,-10,-10,3.103559523,1.802529527,3.103559523,1.802529527,3.556302501,-10,0.301029996,-10,2.331823751,1.301029996,6.958595195,2.301029996,6.030754391,0,0.35530641,0.197199007,0.202574905,0.074998488,,0.171270718,1,0.074999967,0,0,0,0,6.93E-08,1.73E-06,6.93E-08,1.73E-06,0.202574909,0.074998488,,0.167121584,1,0.074999967,0,0,0,0,6.93E-08,1.73E-06,6.93E-08,1.73E-06,1,0,0.02,0,0.033333172,4.10E-05,0.119060593,0.000204848,0.08305275,0,0.715664757,0.689879834,0.693472994,0.8854897,0,0.412783725,1,0.848947412,0,0,0,0,0.462272354,0.599104441,0.462272354,0.60362089,0.693472997,0.8854897,0,0.494540078,1,0.848947412,0,0,0,0,0.462272354,0.599104441,0.462272354,0.60362089,1,0,0.858419166,0,0.445866536,0.205332283,0.914268622,0.235359782,0.894263995
2130,3,283.4926291,44.05256,44.05256,75-21-8,0.002,30000,383.15,1,0.002,0,0,0,0,2043.014072,4.086028145,2043.014072,4.086028145,44.05256,75-21-8,0.002,30000,283.4926288,1,0.002,0,0,0,0,2043.014072,4.086028145,2043.014072,4.086028145,10,inhalation,1,0,6,254.6959,500,4542731.791,5000,1039518.974,0.477121255,2.452541772,1.643971151,1.643971151,-2.698970004,4.477121255,2.58336883,0,-2.698970004,-10,-10,-10,-10,3.310271358,0.611301354,3.310271358,0.611301354,1.643971151,-2.698970004,4.477121255,2.452541771,0,-2.698970004,-10,-10,-10,-10,3.310271358,0.611301354,3.310271358,0.611301354,1,0,-10,0.77815125,2.406021954,2.698970004,6.657317096,3.698970004,6.016832421,0.5,0.427307802,0.12033063,0.123610997,0.00299837,0.027027883,0.249539595,1,0.002999964,0,0,0,0,1.12E-07,1.12E-07,1.12E-07,1.12E-07,0.123611,0.00299837,0.029882109,0.206314791,1,0.002999964,0,0,0,0,1.12E-07,1.12E-07,1.12E-07,1.12E-07,0,1,0,1,0.03999984,0.00110395,0.059496298,0.005519826,0.080432589,0.97207035,0.765092771,0.597650732,0.600763527,0.743189925,0.90486512,0.518677333,1,0.66123723,0,0,0,0,0.477798933,0.5162102,0.477798933,0.521660527,0.60076353,0.743189925,0.907329581,0.548356664,1,0.66123723,0,0,0,0,0.477798933,0.5162102,0.477798933,0.521660527,0,1,0,1,0.474273329,0.460494812,0.886322189,0.527836913,0.892901798
