,log_elev_m,log_ave_nbp_deg_k,log_overall_ave_mw,log_storage_ave_vap_mw,log_storage_shi,log_storage_lfl,log_storage_temp_deg_k,log_storage_vapor_mol_composition,log_storage_shi_times_vapor_mol_composition,log_storage_total_vapor_moles,log_storage_shi_times_total_vapor_moles,log_storage_component_vapor_moles,log_storage_shi_times_component_vapor_moles,log_storage_total_moles,log_storage_shi_times_total_moles,log_storage_component_total_moles,log_storage_shi_times_component_total_moles,log_discharge_ave_vap_mw,log_discharge_shi,log_discharge_lfl,log_discharge_temp_deg_k,log_discharge_vapor_mol_composition,log_discharge_shi_times_vapor_mol_composition,log_discharge_total_vapor_moles,log_discharge_shi_times_total_vapor_moles,log_discharge_component_vapor_moles,log_discharge_shi_times_component_vapor_moles,log_discharge_total_moles,log_discharge_shi_times_total_moles,log_discharge_component_total_moles,log_discharge_shi_times_component_total_moles,log_release_duration_sec,log_discharge_diameter_in,log_release_orientation,log_press_psia,log_conc_low_ppm,log_area_conc_low_m2,log_conc_high_ppm,log_area_conc_high_m2
0,0.8115227229646051,0.13867947084668542,0.25244671902369625,0.24407509956810544,0.7359519384320442,-0.7655411549397362,-0.5181160870460699,0.5371451183426593,0.7697706049346139,,,,,1.4445747521083818,1.6729022842123837,1.601994847878702,1.7386542427663714,0.23299192885650766,0.7426262238866701,-0.7616963633220317,-0.25545118842709585,0.5320338144079361,0.7796930991481571,,,,,1.4445747521083818,1.6747658854267455,1.602498013650489,1.7446472618848434,-1.5796671053785776,1.477257021382141,,0.5346007324078969,-0.7426217403989627,2.6243755081989693,-0.7426217403989627,2.715491807451236
2,,-0.05387736055324024,-1.1846289285274834,-1.2064422421720544,-0.337373782263636,1.2371283392185133,-0.5477928167329047,0.5371451183426593,0.022684042034521665,,,,,2.3168753059897007,2.0242580269667254,2.458935837977433,2.0693466685206965,-1.2349222899582977,-0.34887422227930526,1.2506652054520562,-0.914241499813269,0.5320338144079361,0.0035018290550021453,,,,,2.3168753059897007,2.0270334536183174,2.4615905865975605,2.0775283095687325,0.6323514026132043,1.6617914482432057,,1.5863754034726998,0.34885947911707166,2.3863398136132212,0.34885947911707094,2.382561831069085
9,0.8115227229646051,0.15299647748367098,0.2182926815701735,0.20960160215605406,0.47289145582956854,-0.6832202614114322,0.7614386292846576,0.5371451183426593,0.5866677984026489,,,,,0.38249211159067936,0.5636375294995716,0.5586134749307899,0.6946256190582606,0.19810497123991225,0.4751113133680494,-0.6789770714335159,-0.20646877859430968,0.5320338144079361,0.5894570448307497,,,,,0.38249211159067936,0.5626224078217406,0.5564969486908153,0.6937089427528712,-1.5796671053785776,,0.3276693775800751,1.0344182928274082,-0.4751116613487429,1.8334202681294622,-0.4751116613487429,2.078638141353959
10,0.3697452727184796,0.13867947084668542,0.25244671902369625,0.24407509956810544,0.7359519384320442,-0.7655411549397362,-0.5128964807951818,0.5371451183426593,0.7697706049346139,,,,,0.4959186841428792,0.784097567326505,0.6700428199585959,0.9021203482446046,0.23299192885650766,0.7426262238866701,-0.7616963633220317,-0.25545118842709585,0.5320338144079361,0.7796930991481571,,,,,0.4959186841428792,0.783654575390478,0.668206067320694,0.9025769344611202,-1.5796671053785776,1.477257021382141,0.3276693775800751,0.5346007324078969,-0.7426217403989627,1.9296051515395718,-0.7426217403989627,2.058985016985304
11,-0.3854782678235379,0.15299647748367098,0.2182926815701735,0.20960160215605406,0.47289145582956854,-0.6832202614114322,-0.7662314664398884,0.5371451183426593,0.5866677984026489,,,,,0.5896142007153451,0.7576921457667978,0.7620885356034641,0.87726783597259,0.19810497123991225,0.4751113133680494,-0.6789770714335159,-0.20646877859430968,0.5320338144079361,0.5894570448307497,,,,,0.5896142007153451,0.7571806274567027,0.7604828887071863,0.8775599407884829,-1.5796671053785776,0.6661344821626445,,0.017657731826497172,-0.4751116613487429,1.8437101428110967,-0.4751116613487429,2.0112284623464927
12,0.05629918242258772,0.13867947084668542,0.25244671902369625,0.24407509956810544,0.7359519384320442,-0.7655411549397362,-0.5128964807951818,0.5371451183426593,0.7697706049346139,,,,,0.403685233514676,0.6976831872268661,0.5794334260405583,0.8207880189330389,0.23299192885650766,0.7426262238866701,-0.7616963633220317,-0.25545118842709585,0.5320338144079361,0.7796930991481571,,,,,0.403685233514676,0.6970159358855432,0.5773691739364094,0.8207063233334294,-1.5796671053785776,-0.6648325177669753,0.3276693775800751,0.5346007324078969,-0.7426217403989627,1.8589142611260394,-0.7426217403989627,2.0075253174875254
13,0.3697452727184796,0.15299647748367098,0.2182926815701735,0.20960160215605406,0.47289145582956854,-0.6832202614114322,-0.7622169505058808,0.5371451183426593,0.5866677984026489,,,,,0.6128968099327922,0.7795058402227295,0.7849611820853504,0.8977986617326781,0.19810497123991225,0.4751113133680494,-0.6789770714335159,-0.20646877859430968,0.5320338144079361,0.5894570448307497,,,,,0.6128968099327922,0.7790509320062363,0.7834129631735371,0.8982266457281082,-1.5796671053785776,,,-0.13059298981116935,-0.4751116613487429,1.8566772063574617,-0.4751116613487429,2.004518822268143
15,0.05629918242258772,0.13867947084668542,0.25244671902369625,0.24407509956810544,0.7359519384320442,-0.7655411549397362,-0.8821494031631142,0.5371451183426593,0.7697706049346139,,,,,0.403685233514676,0.6976831872268661,0.5794334260405583,0.8207880189330389,0.23299192885650766,0.7426262238866701,-0.7616963633220317,-0.2641338833502771,0.5320338144079361,0.7796930991481571,,,,,0.403685233514676,0.6970159358855432,0.5773691739364094,0.8207063233334294,-1.5796671053785776,-0.6648325177669753,0.3276693775800751,-1.1519494593092179,-0.7426217403989627,1.8464173438404348,-0.7426217403989627,1.9907174553788813
16,-0.3854782678235379,0.15299647748367098,0.2182926815701735,0.20960160215605406,0.47289145582956854,-0.6832202614114322,1.4016618825252831,0.5371451183426593,0.5866677984026489,,,,,0.3422445828510055,0.5259292437216364,0.5190746290894794,0.6591349667718078,0.19810497123991225,0.4751113133680494,-0.6789770714335159,-0.20646877859430968,0.5320338144079361,0.5894570448307497,,,,,0.3422445828510055,0.5248162628942804,0.5168588298499188,0.6579834026557543,-1.5796671053785776,,,1.7256788084262336,-0.4751116613487429,1.8097755997902838,-0.4751116613487429,1.9849385681709322
17,-0.3854782678235379,0.15299647748367098,0.2182926815701735,0.20960160215605406,0.47289145582956854,-0.6832202614114322,1.4016618825252831,0.5371451183426593,0.5866677984026489,,,,,0.3422445828510055,0.5259292437216364,0.5190746290894794,0.6591349667718078,0.19810497123991225,0.4751113133680494,-0.6789770714335159,-0.20646877859430968,0.5320338144079361,0.5894570448307497,,,,,0.3422445828510055,0.5248162628942804,0.5168588298499188,0.6579834026557543,-1.5796671053785776,,,1.7256788084262336,-0.4751116613487429,1.8097755997902838,-0.4751116613487429,1.9849385681709322
18,-0.3854782678235379,-0.05387736055324024,-1.1846289285274834,-1.2064422421720544,-0.337373782263636,1.2371283392185133,-0.636068215358859,0.5371451183426593,0.022684042034521665,,,,,0.6583454871418504,0.4703659715752854,0.8296095940035972,0.606839384223805,-1.2349222899582977,-0.34887422227930526,1.2506652054520562,-0.914241499813269,0.5320338144079361,0.0035018290550021453,,,,,0.6583454871418504,0.46910879499771446,0.8281734770432589,0.6053417122145246,-1.5796671053785776,-1.5733588343419447,,0.504922273448614,0.34885947911707166,1.7735547708466373,0.34885947911707094,1.9842324713399084
19,,0.15299647748367098,0.2182926815701735,0.20960160215605406,0.47289145582956854,-0.6832202614114322,-0.8172281714913293,0.5371451183426593,0.5866677984026489,,,,,0.48015722599379684,0.6551408860477979,0.6545588912925228,0.7807476408712142,0.19810497123991225,0.4751113133680494,-0.6789770714335159,-0.21174192511434461,0.5320338144079361,0.5894570448307497,,,,,0.48015722599379684,0.6543632304988498,0.6526832620508317,0.7804009460074266,-1.5796671053785776,,,-0.955560590205051,-0.4751116613487429,1.7422161261342959,-0.4751116613487429,1.967530678202981
21,-0.3854782678235379,0.2576312670580426,-0.29681681500363993,0.20238949300721723,0.30372866480449084,-0.7528060515889998,0.03267481163741024,0.48677345120016624,0.4447733224440793,-1.1864299281641868,-0.9520406128146987,-0.9711704735154744,-0.6954822326898892,0.5328605603144964,0.6310886513905858,0.46169494462801447,0.5385181008489942,0.19889636937967287,0.3099023881027385,-0.7597994269976778,0.18864635386768655,0.489231507409073,0.4517323732145154,0.08979098220608883,0.30957745117903807,0.318981422210189,0.5189154619450494,0.5328605603144964,0.6331666462633226,0.45933507812319646,0.5393257356056553,-1.5796671053785776,,,-0.5761848797844596,-0.3099057492607195,1.7470078491926482,-0.3099057492607195,1.9514881194754425
22,-0.3854782678235379,0.2576312670580426,-0.29681681500363993,0.20238949300721723,0.30372866480449084,-0.7528060515889998,0.03267481163741024,0.48677345120016624,0.4447733224440793,-1.1864299281641868,-0.9520406128146987,-0.9711704735154744,-0.6954822326898892,0.5328605603144964,0.6310886513905858,0.46169494462801447,0.5385181008489942,0.19889636937967287,0.3099023881027385,-0.7597994269976778,0.18864635386768655,0.489231507409073,0.4517323732145154,0.08979098220608883,0.30957745117903807,0.318981422210189,0.5189154619450494,0.5328605603144964,0.6331666462633226,0.45933507812319646,0.5393257356056553,-1.5796671053785776,,,-0.5761848797844596,-0.3099057492607195,1.7470078491926482,-0.3099057492607195,1.9514881194754425
23,,0.15299647748367098,0.2182926815701735,0.20960160215605406,0.47289145582956854,-0.6832202614114322,-0.7258622808952357,0.5371451183426593,0.5866677984026489,,,,,0.5019535865337071,0.6755620995192221,0.675971459126523,0.7999678777934088,0.19810497123991225,0.4751113133680494,-0.6789770714335159,-0.20646877859430968,0.5320338144079361,0.5894570448307497,,,,,0.5019535865337071,0.674837440348692,0.6741495919457239,0.7997483882380687,-1.5796671053785776,,,-0.8257965579733423,-0.4751116613487429,1.7679485951802851,-0.4751116613487429,1.9477244403278422
24,0.3697452727184796,0.13723112934186218,0.1380960865772884,0.21327853555979115,0.11397442316637432,-0.7230348761669486,-0.42666290555277353,-0.36588515563425467,-0.09608162292532299,,,,,0.5616607384638962,0.5757032031910321,0.4409062218692323,0.44233334976127026,0.23005326000991896,0.10641656497847894,-0.7491928517987455,-0.24469057280353398,-0.42468142820329846,-0.1251535965053533,0.15259690084426114,0.30819671034636864,0.18717943184436014,0.330205163249518,0.5616607384638962,0.5731356805892477,0.43849415963583616,0.43825037202618383,-1.5796671053785776,1.2393507667927386,,0.9003745242042135,-0.10642327830704269,1.7823842682234539,-0.10642327830704269,1.9417222696200624
25,,0.15299647748367098,0.2182926815701735,0.20960160215605406,0.47289145582956854,-0.6832202614114322,-0.636068215358859,0.5371451183426593,0.5866677984026489,,,,,0.5220668005124438,0.6944063572797837,0.695730517428521,0.8177039001550439,0.19810497123991225,0.4751113133680494,-0.6789770714335159,-0.20646877859430968,0.5320338144079361,0.5894570448307497,,,,,0.5220668005124438,0.6937306020304963,0.6939582607243279,0.8176017929298114,-1.5796671053785776,,,-0.6700955122737996,-0.4751116613487429,1.7882336301342094,-0.4751116613487429,1.9369092034060844
26,1.3680964860808804,0.009174081615229014,-0.20223934295986015,-1.1279674303194416,-0.3515278006300299,1.0993911065320001,0.33586553110473605,0.5165953155495231,0.002980384692639307,,,,,0.5470330708675268,0.3599323342761498,0.5197084530763886,0.32288488047655883,-1.1635417156772507,-0.359858105872106,1.1221021745456974,-0.48464527575341954,0.5155176475505634,-0.012119056782719309,0.4257678225465555,0.434632107029533,0.6681931563760404,0.6462106770954267,0.5470330708675268,0.35984814368809775,0.517494245223907,0.32088716497679337,-1.5796671053785776,,,1.5984764616221683,0.35984243359121065,1.669631335244334,0.35984243359120993,1.8996526222573737
27,0.8115227229646051,0.15299647748367098,0.2182926815701735,0.20960160215605406,0.47289145582956854,-0.6832202614114322,-0.8172281714913293,0.5371451183426593,0.5866677984026489,,,,,0.38249211159067936,0.5636375294995716,0.5586134749307899,0.6946256190582606,0.19810497123991225,0.4751113133680494,-0.6789770714335159,-0.21160619039527698,0.5320338144079361,0.5894570448307497,,,,,0.38249211159067936,0.5626224078217406,0.5564969486908153,0.6937089427528712,-1.5796671053785776,,0.3276693775800751,-1.1519494593092179,-0.4751116613487429,1.6665359342460537,-0.4751116613487429,1.8836453690404924
28,-0.3854782678235379,0.07798224868876866,-0.29771305780968366,-0.31123059946350623,0.47289145582956854,-0.09781897140382824,-0.3755984157484467,0.5371451183426593,0.5866677984026489,,,,,0.7202652352433717,0.8801003192571182,0.8904390523923179,0.9924771548991699,-0.32897386634004433,0.4751113133680494,-0.09074268639974219,-0.46311327052042184,0.5320338144079361,0.5894570448307497,,,,,0.7202652352433717,0.8799064701145695,0.8891556642906236,0.9935317496369827,0.6323514026132043,0.9040407348478634,,0.2581545977921986,-0.4751116613487429,1.9214776397320257,-0.4751116613487429,1.8796379317569374
29,0.42290494991019517,0.07378918020687861,-1.1270359410018653,-1.2058438230523372,-0.34251606153380376,1.2454465474015544,-0.5477928167329047,0.5296800344815512,0.015526130668062136,,,,,0.7105760775490587,0.5170693814168725,0.48985326372178767,0.299768430467738,-1.2345483288183687,-0.35209874601781455,1.255819371405914,-0.3763254401921816,0.5271852469098801,-0.0010844554804868526,0.2208841758624553,0.23165749439890082,0.46117955002632677,0.4507382851067602,0.7105760775490587,0.5167912560249373,0.48756409631655795,0.2970491076607635,-1.5796671053785776,,,0.504922273448614,0.3520836894653801,1.669799643071042,0.3520836894653801,1.86538995248519
30,-0.3854782678235379,-0.05387736055324024,-1.1846289285274834,-1.2064422421720544,-0.337373782263636,1.2371283392185133,-0.8172281714913293,0.5371451183426593,0.022684042034521665,,,,,0.43014214769120557,0.25656013452829834,0.60542448397181,0.40560752064519723,-1.2349222899582977,-0.34887422227930526,1.2506652054520562,-0.914241499813269,0.5320338144079361,0.0035018290550021453,,,,,0.43014214769120557,0.25474809694484346,0.6034254894701113,0.402778035642164,-1.5796671053785776,,,1.8395347551472248,0.34885947911707166,1.6154981200953042,0.34885947911707094,1.8500311465292527
31,1.3680964860808804,0.012805656001152884,-0.4447128975715823,-0.8383860181112409,-0.4763657643977093,0.5842674014497662,0.0315625527799804,0.33534734502595037,-0.17080635529430194,,,,,0.5899521122199387,0.3459539223324291,0.5033578099388385,0.25720554636583265,-0.7779468981030674,-0.5181771250713613,0.46568187288581475,-0.5971967012261736,0.2774416246017057,-0.2372880646995746,0.3926287039330001,0.3513355479058475,0.5832390774560321,0.5162024860365602,0.5899521122199387,0.3324093218775817,0.5011025493607427,0.24208778955193913,-1.5796671053785776,,,1.5984764616221683,0.5181587133605283,1.6565952355226776,0.5181587133605291,1.8457511987626742
34,-0.3854782678235379,0.15299647748367098,0.2182926815701735,0.20960160215605406,0.47289145582956854,-0.6832202614114322,-0.5672614390621515,0.5371451183426593,0.5866677984026489,,,,,0.5896142007153451,0.7576921457667978,0.7620885356034641,0.87726783597259,0.19810497123991225,0.4751113133680494,-0.6789770714335159,-0.20646877859430968,0.5320338144079361,0.5894570448307497,,,,,0.5896142007153451,0.7571806274567027,0.7604828887071863,0.8775599407884829,0.6323514026132043,0.6661344821626445,,0.017657731826497172,-0.4751116613487429,1.6123040412219012,-0.4751116613487429,1.8294452608092686
35,-0.3854782678235379,0.15299647748367098,0.2182926815701735,0.20960160215605406,0.47289145582956854,-0.6832202614114322,-0.7662314664398884,0.5371451183426593,0.5866677984026489,,,,,0.5896142007153451,0.7576921457667978,0.7620885356034641,0.87726783597259,0.19810497123991225,0.4751113133680494,-0.6789770714335159,-0.20646877859430968,0.5320338144079361,0.5894570448307497,,,,,0.5896142007153451,0.7571806274567027,0.7604828887071863,0.8775599407884829,0.6323514026132043,0.6661344821626445,,0.017657731826497172,-0.4751116613487429,1.619810143548656,-0.4751116613487429,1.827619924016466
36,-0.3854782678235379,0.13867947084668542,0.25244671902369625,0.24407509956810544,0.7359519384320442,-0.7655411549397362,0.6234007008713082,0.5371451183426593,0.7697706049346139,,,,,-0.1068024661271975,0.21940250041979395,0.07793444977847368,0.3706351360690776,0.23299192885650766,0.7426262238866701,-0.7616963633220317,-0.25545118842709585,0.5320338144079361,0.7796930991481571,,,,,-0.1068024661271975,0.217494032717674,0.07461104843505055,0.3675741933069565,-1.5796671053785776,,0.3276693775800751,0.9702555672131367,-0.7426217403989627,1.5899965648412986,-0.7426217403989627,1.8269658620854845
37,-0.3854782678235379,0.07798224868876866,-0.29771305780968366,-0.31123059946350623,0.47289145582956854,-0.09781897140382824,0.29133575588732186,0.5371451183426593,0.5866677984026489,,,,,0.02055006089217899,0.22453064658372088,0.20304453954050322,0.3754616947052842,-0.32897386634004433,0.4751113133680494,-0.09074268639974219,-0.46311327052042184,0.5320338144079361,0.5894570448307497,,,,,0.02055006089217899,0.2226354872569855,0.20003526102046762,0.3724326955598075,-1.5796671053785776,,0.3276693775800751,0.9702555672131367,-0.4751116613487429,1.5889857949461565,-0.4751116613487429,1.8127013256463549
